hisse,fark,adet2,tks2,tip,donem,yukleme
VERTU,1019,8433,22000000,yabanci,2026_01,2026-04-18 13:52
GEDZA,77,706651,42983624,yabanci,2026_01,2026-04-18 13:52
QNBTR,12,31,2571745911,yabanci,2026_01,2026-04-18 13:52
SONME,0,0,4349319,yabanci,2026_01,2026-04-18 13:52
OYAYO,0,16000,19999941,yabanci,2026_01,2026-04-18 13:52
OYLUM,0,0,80937367,yabanci,2026_01,2026-04-18 13:52
EUHOL,0,325000,142999955,yabanci,2026_01,2026-04-18 13:52
LIOYS,0,0,31625013,yabanci,2026_01,2026-04-18 13:52
OZRDN,0,5,57107579,yabanci,2026_01,2026-04-18 13:52
EGCYO,0,0,21986285,yabanci,2026_01,2026-04-18 13:52
ARBUL,0,2300,15459297,yabanci,2026_01,2026-04-18 13:52
TDGYO,0,398606,59914214,yabanci,2026_01,2026-04-18 13:52
DGGYO,0,7410,280709437,yabanci,2026_01,2026-04-18 13:52
FENIS,0,210000,26080019,yabanci,2026_01,2026-04-18 13:52
ASYAB,0,25266969,477904801,yabanci,2026_01,2026-04-18 13:52
KENT,0,0,1191005,yabanci,2026_01,2026-04-18 13:52
KERVN,0,0,588346973,yabanci,2026_01,2026-04-18 13:52
MANGO,0,50001,37831688,yabanci,2026_01,2026-04-18 13:52
ARTOG,0,220000,18578922,yabanci,2026_01,2026-04-18 13:52
CMENT,0,1776,56829666,yabanci,2026_01,2026-04-18 13:52
MEGAP,0,1,234498757,yabanci,2026_01,2026-04-18 13:52
ATEKS,0,4172,5441598,yabanci,2026_01,2026-04-18 13:52
PRZMA,0,60,61941154,yabanci,2026_01,2026-04-18 13:52
PSDTC,0,284,6599991,yabanci,2026_01,2026-04-18 13:52
MEMSA,0,1,160110709,yabanci,2026_01,2026-04-18 13:52
QNBFK,0,13,843137646,yabanci,2026_01,2026-04-18 13:52
MENBA,0,4513,3496852,yabanci,2026_01,2026-04-18 13:52
CRDFA,0,0,74996853,yabanci,2026_01,2026-04-18 13:52
ATPET,0,101,11403497,yabanci,2026_01,2026-04-18 13:52
KLNMA,0,57760,91846864,yabanci,2026_01,2026-04-18 13:52
AKPAZ,0,352917,22489187,yabanci,2026_01,2026-04-18 13:52
UKIM,0,22970,2053621,yabanci,2026_01,2026-04-18 13:52
ULAS,0,0,25200172,yabanci,2026_01,2026-04-18 13:52
BURVA,0,71327,4723271,yabanci,2026_01,2026-04-18 13:52
GLBMD,0,1,28880500,yabanci,2026_01,2026-04-18 13:52
