hisse,adet2,tks2,oran,tip,donem,yukleme
KRGYO,160865,275373393,0.06,bulls,2026_01,2026-04-18 13:52
RTALB,347165,432976722,0.08,bulls,2026_01,2026-04-18 13:52
IHGZT,57710201,570666228,10.11,bulls,2026_01,2026-04-18 13:52
ORCAY,348163,149972352,0.23,bulls,2026_01,2026-04-18 13:52
ENKAI,165495,874736059,0.02,bulls,2026_01,2026-04-18 13:52
DERIM,10094,40403770,0.02,bulls,2026_01,2026-04-18 13:52
KOPOL,675415,266319652,0.25,bulls,2026_01,2026-04-18 13:52
SELEC,23747,124262097,0.02,bulls,2026_01,2026-04-18 13:52
EGEPO,192743,200000000,0.1,bulls,2026_01,2026-04-18 13:52
SEGYO,402000,203388821,0.2,bulls,2026_01,2026-04-18 13:52
BIGEN,222315,115500000,0.19,bulls,2026_01,2026-04-18 13:52
DCTTR,811103,157328724,0.52,bulls,2026_01,2026-04-18 13:52
ARMGD,68138,54996000,0.12,bulls,2026_01,2026-04-18 13:52
AVTUR,256933,43067999,0.6,bulls,2026_01,2026-04-18 13:52
ZERGY,814196,156799985,0.52,bulls,2026_01,2026-04-18 13:52
PENGD,160283,171069968,0.09,bulls,2026_01,2026-04-18 13:52
KARSN,321859,827850973,0.04,bulls,2026_01,2026-04-18 13:52
DESA,285025,171107590,0.17,bulls,2026_01,2026-04-18 13:52
GUNDG,767401,18968972,4.05,bulls,2026_01,2026-04-18 13:52
IEYHO,312328,541032947,0.06,bulls,2026_01,2026-04-18 13:52
FROTO,178655,625120847,0.03,bulls,2026_01,2026-04-18 13:52
HUNER,826918,670137934,0.12,bulls,2026_01,2026-04-18 13:52
BOBET,285517,113999998,0.25,bulls,2026_01,2026-04-18 13:52
OYAKC,46450,4656879380,0.0,bulls,2026_01,2026-04-18 13:52
GESAN,128327,141759180,0.09,bulls,2026_01,2026-04-18 13:52
AVPGY,-14109,100000000,-0.01,bulls,2026_01,2026-04-18 13:52
AGYO,396930,129036460,0.31,bulls,2026_01,2026-04-18 13:52
SANFM,831732,225029995,0.37,bulls,2026_01,2026-04-18 13:52
BRKO,1330701,138199447,0.96,bulls,2026_01,2026-04-18 13:52
PLTUR,76644,49500000,0.15,bulls,2026_01,2026-04-18 13:52
IZENR,447438,914537597,0.05,bulls,2026_01,2026-04-18 13:52
CEMTS,571368,233425986,0.24,bulls,2026_01,2026-04-18 13:52
YYLGD,198353,369826200,0.05,bulls,2026_01,2026-04-18 13:52
ARDYZ,294752,279551557,0.11,bulls,2026_01,2026-04-18 13:52
DARDL,1399407,1753442695,0.08,bulls,2026_01,2026-04-18 13:52
DENGE,868234,525284797,0.17,bulls,2026_01,2026-04-18 13:52
OZYSR,244955,40488000,0.61,bulls,2026_01,2026-04-18 13:52
GARAN,149315,2454854227,0.01,bulls,2026_01,2026-04-18 13:52
OSMEN,321019,157750927,0.2,bulls,2026_01,2026-04-18 13:52
GEREL,860601,219036379,0.39,bulls,2026_01,2026-04-18 13:52
SKTAS,1390041,332865443,0.42,bulls,2026_01,2026-04-18 13:52
ZOREN,1573187,2681244172,0.06,bulls,2026_01,2026-04-18 13:52
MARTI,735018,590191701,0.12,bulls,2026_01,2026-04-18 13:52
IDGYO,35496,119234999,0.03,bulls,2026_01,2026-04-18 13:52
MEGMT,355908,72749999,0.49,bulls,2026_01,2026-04-18 13:52
AKSUE,77087,56376184,0.14,bulls,2026_01,2026-04-18 13:52
IHAAS,47406,56031248,0.08,bulls,2026_01,2026-04-18 13:52
DOHOL,-41819,984706959,-0.0,bulls,2026_01,2026-04-18 13:52
MANAS,783424,149942371,0.52,bulls,2026_01,2026-04-18 13:52
DURKN,100159,42500000,0.24,bulls,2026_01,2026-04-18 13:52
KRDMA,21546611,240300917,8.97,bulls,2026_01,2026-04-18 13:52
AHSGY,81381,184999889,0.04,bulls,2026_01,2026-04-18 13:52
ASTOR,2953257,366896261,0.8,bulls,2026_01,2026-04-18 13:52
AKENR,657386,385189146,0.17,bulls,2026_01,2026-04-18 13:52
TTKOM,-35526,524999999,-0.01,bulls,2026_01,2026-04-18 13:52
DMSAS,276006,199994510,0.14,bulls,2026_01,2026-04-18 13:52
DZGYO,487378,399777846,0.12,bulls,2026_01,2026-04-18 13:52
TUKAS,4525736,4499995929,0.1,bulls,2026_01,2026-04-18 13:52
BJKAS,1016323,1776089716,0.06,bulls,2026_01,2026-04-18 13:52
ARSAN,5195075,887344274,0.59,bulls,2026_01,2026-04-18 13:52
PASEU,-151306,215295868,-0.07,bulls,2026_01,2026-04-18 13:52
LRSHO,2124512,724120946,0.29,bulls,2026_01,2026-04-18 13:52
OZGYO,1574954,490916869,0.32,bulls,2026_01,2026-04-18 13:52
IZMDC,194059,723225318,0.03,bulls,2026_01,2026-04-18 13:52
ENTRA,424087,369383564,0.11,bulls,2026_01,2026-04-18 13:52
TATEN,-399472,347769724,-0.11,bulls,2026_01,2026-04-18 13:52
AKFGY,2534497,3457819315,0.07,bulls,2026_01,2026-04-18 13:52
KRVGD,74283,596159766,0.01,bulls,2026_01,2026-04-18 13:52
KBORU,2537191,143999994,1.76,bulls,2026_01,2026-04-18 13:52
VAKBN,-426892,8046896130,-0.01,bulls,2026_01,2026-04-18 13:52
BAYRK,145710,189751123,0.08,bulls,2026_01,2026-04-18 13:52
FONET,1292034,577082984,0.22,bulls,2026_01,2026-04-18 13:52
SAHOL,-798861,1142761094,-0.07,bulls,2026_01,2026-04-18 13:52
ENERY,154497,2420686786,0.01,bulls,2026_01,2026-04-18 13:52
BUCIM,1249911,1286538062,0.1,bulls,2026_01,2026-04-18 13:52
VAKFN,2305631,2064378140,0.11,bulls,2026_01,2026-04-18 13:52
INDES,31993,462749768,0.01,bulls,2026_01,2026-04-18 13:52
HEKTS,3812721,3946474643,0.1,bulls,2026_01,2026-04-18 13:52
CWENE,-497042,530758241,-0.09,bulls,2026_01,2026-04-18 13:52
KRDMD,333304,780216365,0.04,bulls,2026_01,2026-04-18 13:52
TSKB,-1347360,1516591673,-0.09,bulls,2026_01,2026-04-18 13:52
EMKEL,97297,149999456,0.06,bulls,2026_01,2026-04-18 13:52
KATMR,3181122,1980989998,0.16,bulls,2026_01,2026-04-18 13:52
ULUFA,310516,305352801,0.1,bulls,2026_01,2026-04-18 13:52
AKBNK,-510629,3059020211,-0.02,bulls,2026_01,2026-04-18 13:52
KZBGY,1060795,585996164,0.18,bulls,2026_01,2026-04-18 13:52
TERA,-126254,240888789,-0.05,bulls,2026_01,2026-04-18 13:52
TURSG,536851,7907296076,0.01,bulls,2026_01,2026-04-18 13:52
IHLAS,3012505,1396079076,0.22,bulls,2026_01,2026-04-18 13:52
HALKB,2853394,6546422780,0.04,bulls,2026_01,2026-04-18 13:52
GENTS,5257987,749958921,0.7,bulls,2026_01,2026-04-18 13:52
PEKGY,3165668,4685012615,0.07,bulls,2026_01,2026-04-18 13:52
ISKPL,2262937,724625736,0.31,bulls,2026_01,2026-04-18 13:52
ARFYE,671721,47000000,1.43,bulls,2026_01,2026-04-18 13:52
AEFES,-1084444,2028860053,-0.05,bulls,2026_01,2026-04-18 13:52
MARMR,404621,961218727,0.04,bulls,2026_01,2026-04-18 13:52
ASGYO,335543,165000000,0.2,bulls,2026_01,2026-04-18 13:52
HDFGS,4960228,956974190,0.52,bulls,2026_01,2026-04-18 13:52
YKBNK,-1792098,4705235952,-0.04,bulls,2026_01,2026-04-18 13:52
CIMSA,1167139,488404404,0.24,bulls,2026_01,2026-04-18 13:52
QUAGR,2624119,1771950000,0.15,bulls,2026_01,2026-04-18 13:52
EKGYO,-2432106,1925107366,-0.13,bulls,2026_01,2026-04-18 13:52
EREGL,783315,3554238535,0.02,bulls,2026_01,2026-04-18 13:52
PSGYO,64716995,2954231556,2.19,bulls,2026_01,2026-04-18 13:52
DAPGM,210308122,928276145,22.66,bulls,2026_01,2026-04-18 13:52
ISCTR,-3131445,8880196742,-0.04,bulls,2026_01,2026-04-18 13:52
PATEK,1046376,293081892,0.36,bulls,2026_01,2026-04-18 13:52
FORMT,180283968,1075744232,16.76,bulls,2026_01,2026-04-18 13:52
PAHOL,15538957,3999999979,0.39,pusula,2026_01,2026-04-18 13:52
BTCIM,5594661,4046650979,0.14,pusula,2026_01,2026-04-18 13:52
ALGYO,3531250,989357377,0.36,pusula,2026_01,2026-04-18 13:52
DENGE,6421491,525284797,1.22,pusula,2026_01,2026-04-18 13:52
CANTE,10968212,6026143802,0.18,pusula,2026_01,2026-04-18 13:52
SASA,11003627,25700421137,0.04,pusula,2026_01,2026-04-18 13:52
AKSEN,417491,638545796,0.07,pusula,2026_01,2026-04-18 13:52
KAYSE,2053244,814062605,0.25,pusula,2026_01,2026-04-18 13:52
FENER,2098912,2772321026,0.08,pusula,2026_01,2026-04-18 13:52
ALBRK,1081763,1050739765,0.1,pusula,2026_01,2026-04-18 13:52
KTLEV,2188703,1288500000,0.17,pusula,2026_01,2026-04-18 13:52
MEYSU,1016285,175000000,0.58,pusula,2026_01,2026-04-18 13:52
OBAMS,2076735,725750028,0.29,pusula,2026_01,2026-04-18 13:52
EKGYO,1281342,1925107366,0.07,pusula,2026_01,2026-04-18 13:52
ADESE,2428044,4687131701,0.05,pusula,2026_01,2026-04-18 13:52
IHLGM,1480455,986078000,0.15,pusula,2026_01,2026-04-18 13:52
MRGYO,2236925,1035439185,0.22,pusula,2026_01,2026-04-18 13:52
YYAPI,3621476,1705025550,0.21,pusula,2026_01,2026-04-18 13:52
ODAS,1115471,1113798031,0.1,pusula,2026_01,2026-04-18 13:52
ALVES,867309,862856920,0.1,pusula,2026_01,2026-04-18 13:52
EGEPO,684838,200000000,0.34,pusula,2026_01,2026-04-18 13:52
METRO,726361,539989959,0.13,pusula,2026_01,2026-04-18 13:52
BSOKE,1559956,458486931,0.34,pusula,2026_01,2026-04-18 13:52
VAKFN,3354790,2064378140,0.16,pusula,2026_01,2026-04-18 13:52
EPLAS,869362,190491857,0.46,pusula,2026_01,2026-04-18 13:52
CIMSA,127139,488404404,0.03,pusula,2026_01,2026-04-18 13:52
BARMA,656048,67594701,0.97,pusula,2026_01,2026-04-18 13:52
TURSG,554799,7907296076,0.01,pusula,2026_01,2026-04-18 13:52
DAPGM,1291009,928276145,0.14,pusula,2026_01,2026-04-18 13:52
USAK,983327,1218028690,0.08,pusula,2026_01,2026-04-18 13:52
ISKPL,1478621,724625736,0.2,pusula,2026_01,2026-04-18 13:52
AVOD,745262,253604577,0.29,pusula,2026_01,2026-04-18 13:52
MANAS,569869,149942371,0.38,pusula,2026_01,2026-04-18 13:52
ESEN,916267,682499950,0.13,pusula,2026_01,2026-04-18 13:52
AKBNK,734149,3059020211,0.02,pusula,2026_01,2026-04-18 13:52
ZOREN,4254694,2681244172,0.16,pusula,2026_01,2026-04-18 13:52
INFO,680608,767463337,0.09,pusula,2026_01,2026-04-18 13:52
SKBNK,379639,2498879854,0.02,pusula,2026_01,2026-04-18 13:52
SEGYO,309645,203388821,0.15,pusula,2026_01,2026-04-18 13:52
SANFM,732229,225029995,0.33,pusula,2026_01,2026-04-18 13:52
KLSYN,355816,107854952,0.33,pusula,2026_01,2026-04-18 13:52
SKYMD,514612,52499981,0.98,pusula,2026_01,2026-04-18 13:52
AGHOL,376599,1068828243,0.04,pusula,2026_01,2026-04-18 13:52
HATEK,306786,62998947,0.49,pusula,2026_01,2026-04-18 13:52
KRVGD,-137330,596159766,-0.02,pusula,2026_01,2026-04-18 13:52
BAYRK,557685,189751123,0.29,pusula,2026_01,2026-04-18 13:52
SARKY,245083,999999671,0.02,pusula,2026_01,2026-04-18 13:52
ALKA,455853,330750000,0.14,pusula,2026_01,2026-04-18 13:52
REEDR,738665,632558010,0.12,pusula,2026_01,2026-04-18 13:52
SMRTG,283655,664164672,0.04,pusula,2026_01,2026-04-18 13:52
KRGYO,531021,275373393,0.19,pusula,2026_01,2026-04-18 13:52
GLRYH,317020,599623814,0.05,pusula,2026_01,2026-04-18 13:52
MZHLD,274819,72215314,0.38,pusula,2026_01,2026-04-18 13:52
KBORU,325705,143999994,0.23,pusula,2026_01,2026-04-18 13:52
DITAS,217449,83407812,0.26,pusula,2026_01,2026-04-18 13:52
MTRKS,398248,43633165,0.91,pusula,2026_01,2026-04-18 13:52
TSGYO,395645,266499982,0.15,pusula,2026_01,2026-04-18 13:52
IHLAS,904428,1396079076,0.06,pusula,2026_01,2026-04-18 13:52
VAKFA,429467,224999701,0.19,pusula,2026_01,2026-04-18 13:52
HLGYO,1281983,1075198516,0.12,pusula,2026_01,2026-04-18 13:52
MARMR,1024273,961218727,0.11,pusula,2026_01,2026-04-18 13:52
EUPWR,292496,199610525,0.15,pusula,2026_01,2026-04-18 13:52
BORSK,684122,279999879,0.24,pusula,2026_01,2026-04-18 13:52
LIDFA,307163,458180545,0.07,pusula,2026_01,2026-04-18 13:52
VKGYO,994252,1637202242,0.06,pusula,2026_01,2026-04-18 13:52
OZYSR,279457,40488000,0.69,pusula,2026_01,2026-04-18 13:52
ARSAN,734614,887344274,0.08,pusula,2026_01,2026-04-18 13:52
CVKMD,282413,461999787,0.06,pusula,2026_01,2026-04-18 13:52
PRZMA,376569,61941154,0.61,pusula,2026_01,2026-04-18 13:52
BINHO,1073699,488884390,0.22,pusula,2026_01,2026-04-18 13:52
TATEN,1128794,347769724,0.32,pusula,2026_01,2026-04-18 13:52
ESCAR,391863,101933690,0.38,pusula,2026_01,2026-04-18 13:52
ARZUM,1310418,293999828,0.45,pusula,2026_01,2026-04-18 13:52
MAKTK,338547,184370066,0.18,pusula,2026_01,2026-04-18 13:52
IHYAY,687513,388124996,0.18,pusula,2026_01,2026-04-18 13:52
FZLGY,177781,398427439,0.04,pusula,2026_01,2026-04-18 13:52
ENTRA,133455,369383564,0.04,pusula,2026_01,2026-04-18 13:52
YAYLA,147887,39874966,0.37,pusula,2026_01,2026-04-18 13:52
TEHOL,847889,1967936441,0.04,pusula,2026_01,2026-04-18 13:52
IHEVA,1017150,291631239,0.35,pusula,2026_01,2026-04-18 13:52
KLKIM,79161,138383655,0.06,pusula,2026_01,2026-04-18 13:52
NTHOL,110775,485479112,0.02,pusula,2026_01,2026-04-18 13:52
DERHL,427258,197281316,0.22,pusula,2026_01,2026-04-18 13:52
TNZTP,116890,87496826,0.13,pusula,2026_01,2026-04-18 13:52
FLAP,418822,93599986,0.45,pusula,2026_01,2026-04-18 13:52
LRSHO,515976,724120946,0.07,pusula,2026_01,2026-04-18 13:52
BIGEN,691835,115500000,0.6,pusula,2026_01,2026-04-18 13:52
MAGEN,144128,719512140,0.02,pusula,2026_01,2026-04-18 13:52
YGYO,508255,1310632851,0.04,pusula,2026_01,2026-04-18 13:52
MEKAG,278298,320319999,0.09,pusula,2026_01,2026-04-18 13:52
SEKUR,434677,131457835,0.33,pusula,2026_01,2026-04-18 13:52
IMASM,1476805,622850499,0.24,pusula,2026_01,2026-04-18 13:52
ANELE,78716,151405542,0.05,pusula,2026_01,2026-04-18 13:52
GMTAS,102852,298687813,0.03,pusula,2026_01,2026-04-18 13:52
UCAYM,70430,59996268,0.12,pusula,2026_01,2026-04-18 13:52
AKFYE,109849,551782160,0.02,pusula,2026_01,2026-04-18 13:52
EGEGY,367857,61200000,0.6,pusula,2026_01,2026-04-18 13:52
ASGYO,299854,165000000,0.18,pusula,2026_01,2026-04-18 13:52
NATEN,255594,309375000,0.08,pusula,2026_01,2026-04-18 13:52
MOBTL,1367015,207999999,0.66,pusula,2026_01,2026-04-18 13:52
BORLS,136136,308652686,0.04,pusula,2026_01,2026-04-18 13:52
BIOEN,138875,197983419,0.07,pusula,2026_01,2026-04-18 13:52
OYAKC,213598,4656879380,0.0,pusula,2026_01,2026-04-18 13:52
KLSER,126309,109457566,0.12,pusula,2026_01,2026-04-18 13:52
QUAGR,1385193,1771950000,0.08,pusula,2026_01,2026-04-18 13:52
RYGYO,157177,770588057,0.02,pusula,2026_01,2026-04-18 13:52
MARBL,105024,65226403,0.16,pusula,2026_01,2026-04-18 13:52
MOPAS,177557,57330000,0.31,pusula,2026_01,2026-04-18 13:52
MARTI,790868,590191701,0.13,pusula,2026_01,2026-04-18 13:52
CWENE,277493,530758241,0.05,pusula,2026_01,2026-04-18 13:52
FRMPL,52572,39997696,0.13,pusula,2026_01,2026-04-18 13:52
EKSUN,322089,171792833,0.19,pusula,2026_01,2026-04-18 13:52
AKSA,940004,1503670642,0.06,pusula,2026_01,2026-04-18 13:52
YYLGD,271222,369826200,0.07,pusula,2026_01,2026-04-18 13:52
DAGI,350380,175301274,0.2,pusula,2026_01,2026-04-18 13:52
UNLU,70176,102181558,0.07,pusula,2026_01,2026-04-18 13:52
EUREN,546848,1040132637,0.05,pusula,2026_01,2026-04-18 13:52
KZBGY,438346,585996164,0.07,pusula,2026_01,2026-04-18 13:52
SURGY,69021,44745990,0.15,pusula,2026_01,2026-04-18 13:52
SNICA,381366,321688855,0.12,pusula,2026_01,2026-04-18 13:52
ISDMR,183383,147623050,0.12,pusula,2026_01,2026-04-18 13:52
HURGZ,223366,220784167,0.1,pusula,2026_01,2026-04-18 13:52
ADGYO,42866,379654367,0.01,pusula,2026_01,2026-04-18 13:52
LILAK,103268,260252730,0.04,pusula,2026_01,2026-04-18 13:52
GENIL,46993,85937999,0.05,pusula,2026_01,2026-04-18 13:52
SODSN,42768,45373261,0.09,pusula,2026_01,2026-04-18 13:52
AKHAN,37310,54700000,0.07,pusula,2026_01,2026-04-18 13:52
KFEIN,103890,150306170,0.07,pusula,2026_01,2026-04-18 13:52
KRPLS,86717,78486163,0.11,pusula,2026_01,2026-04-18 13:52
VRGYO,581206,597643904,0.1,pusula,2026_01,2026-04-18 13:52
KRSTL,107752,183664642,0.06,pusula,2026_01,2026-04-18 13:52
SAHOL,79692,1142761094,0.01,pusula,2026_01,2026-04-18 13:52
AHGAZ,206525,659370871,0.03,pusula,2026_01,2026-04-18 13:52
BIZIM,56253,27601626,0.2,pusula,2026_01,2026-04-18 13:52
GEREL,249987,219036379,0.11,pusula,2026_01,2026-04-18 13:52
TCELL,88826,1622604373,0.01,pusula,2026_01,2026-04-18 13:52
EUKYO,161797,19899963,0.81,pusula,2026_01,2026-04-18 13:52
CEMTS,117567,233425986,0.05,pusula,2026_01,2026-04-18 13:52
MIATK,344846,313087979,0.11,pusula,2026_01,2026-04-18 13:52
ZGYO,28766,84499889,0.03,pusula,2026_01,2026-04-18 13:52
TEZOL,199581,139835975,0.14,pusula,2026_01,2026-04-18 13:52
ATAGY,39862,45670114,0.09,pusula,2026_01,2026-04-18 13:52
ORCAY,426612,149972352,0.28,pusula,2026_01,2026-04-18 13:52
NETCD,25600,40000000,0.06,pusula,2026_01,2026-04-18 13:52
PRDGS,57004,110850000,0.05,pusula,2026_01,2026-04-18 13:52
DCTTR,209077,157328724,0.13,pusula,2026_01,2026-04-18 13:52
PNSUT,82711,128323851,0.06,pusula,2026_01,2026-04-18 13:52
MSGYO,600926,169650150,0.35,pusula,2026_01,2026-04-18 13:52
GOODY,201206,132804473,0.15,pusula,2026_01,2026-04-18 13:52
OZSUB,50543,42499126,0.12,pusula,2026_01,2026-04-18 13:52
EFOR,31917,539999994,0.01,pusula,2026_01,2026-04-18 13:52
QNBTR,23716,2571745911,0.0,pusula,2026_01,2026-04-18 13:52
AVTUR,38250,43067999,0.09,pusula,2026_01,2026-04-18 13:52
GESAN,122141,141759180,0.09,pusula,2026_01,2026-04-18 13:52
AKCNS,34142,39359284,0.09,pusula,2026_01,2026-04-18 13:52
KLMSN,76290,30881197,0.25,pusula,2026_01,2026-04-18 13:52
KARSN,507615,827850973,0.06,pusula,2026_01,2026-04-18 13:52
ASTOR,135370,366896261,0.04,pusula,2026_01,2026-04-18 13:52
CUSAN,31794,18500000,0.17,pusula,2026_01,2026-04-18 13:52
ISGSY,28777,47378729,0.06,pusula,2026_01,2026-04-18 13:52
BERA,113785,491816866,0.02,pusula,2026_01,2026-04-18 13:52
GSDDE,111406,106850751,0.1,pusula,2026_01,2026-04-18 13:52
TRILC,74222,118499496,0.06,pusula,2026_01,2026-04-18 13:52
ISGYO,17077,531312439,0.0,pusula,2026_01,2026-04-18 13:52
ARCLK,99406,170054748,0.06,pusula,2026_01,2026-04-18 13:52
EUHOL,39298,142999955,0.03,pusula,2026_01,2026-04-18 13:52
HATSN,57737,44299973,0.13,pusula,2026_01,2026-04-18 13:52
LIDER,51011,279500000,0.02,pusula,2026_01,2026-04-18 13:52
SAFKR,113575,139427409,0.08,pusula,2026_01,2026-04-18 13:52
EUYO,30162,19932876,0.15,pusula,2026_01,2026-04-18 13:52
ISYAT,160675,152245569,0.11,pusula,2026_01,2026-04-18 13:52
GLCVY,55955,26400000,0.21,pusula,2026_01,2026-04-18 13:52
GUBRF,17992,85359737,0.02,pusula,2026_01,2026-04-18 13:52
BRMEN,49981,57566555,0.09,pusula,2026_01,2026-04-18 13:52
NTGAZ,102531,276000000,0.04,pusula,2026_01,2026-04-18 13:52
BJKAS,217150,1776089716,0.01,pusula,2026_01,2026-04-18 13:52
ALFAS,66219,84639559,0.08,pusula,2026_01,2026-04-18 13:52
GSDHO,108771,999994969,0.01,pusula,2026_01,2026-04-18 13:52
MTRYO,60562,39900000,0.15,pusula,2026_01,2026-04-18 13:52
VESTL,108169,295447203,0.04,pusula,2026_01,2026-04-18 13:52
KRTEK,52190,18914650,0.28,pusula,2026_01,2026-04-18 13:52
KORDS,35793,65421451,0.05,pusula,2026_01,2026-04-18 13:52
OSMEN,70238,157750927,0.04,pusula,2026_01,2026-04-18 13:52
ARFYE,52044,47000000,0.11,pusula,2026_01,2026-04-18 13:52
HTTBT,33723,82805422,0.04,pusula,2026_01,2026-04-18 13:52
PKART,33049,11048497,0.3,pusula,2026_01,2026-04-18 13:52
RGYAS,15729,105523000,0.01,pusula,2026_01,2026-04-18 13:52
GEDIK,228756,983076856,0.02,pusula,2026_01,2026-04-18 13:52
SEYKM,484969,151040901,0.32,pusula,2026_01,2026-04-18 13:52
MEGAP,262327,234498757,0.11,pusula,2026_01,2026-04-18 13:52
MGROS,22037,96563547,0.02,pusula,2026_01,2026-04-18 13:52
BMSTL,153439,74772260,0.21,pusula,2026_01,2026-04-18 13:52
ELITE,65542,44650000,0.15,pusula,2026_01,2026-04-18 13:52
SUNTK,21673,144433250,0.02,pusula,2026_01,2026-04-18 13:52
INTEM,10450,9428747,0.11,pusula,2026_01,2026-04-18 13:52
OFSYM,26459,22749998,0.12,pusula,2026_01,2026-04-18 13:52
BULGS,89454,72499900,0.12,pusula,2026_01,2026-04-18 13:52
SOKE,118619,126999996,0.09,pusula,2026_01,2026-04-18 13:52
ENKAI,63747,874736059,0.01,pusula,2026_01,2026-04-18 13:52
OZKGY,41966,363999945,0.01,pusula,2026_01,2026-04-18 13:52
ATEKS,11895,5441598,0.22,pusula,2026_01,2026-04-18 13:52
GLRMK,30301,38760000,0.08,pusula,2026_01,2026-04-18 13:52
PCILT,20534,45014183,0.05,pusula,2026_01,2026-04-18 13:52
BRKVY,337251,13618361,2.48,pusula,2026_01,2026-04-18 13:52
GWIND,36663,179165491,0.02,pusula,2026_01,2026-04-18 13:52
AEFES,440722,2028860053,0.02,pusula,2026_01,2026-04-18 13:52
BNTAS,77126,170624998,0.05,pusula,2026_01,2026-04-18 13:52
PLTUR,842821,49500000,1.7,pusula,2026_01,2026-04-18 13:52
GRTHO,11722,36745000,0.03,pusula,2026_01,2026-04-18 13:52
KMPUR,89168,132432524,0.07,pusula,2026_01,2026-04-18 13:52
TURGG,118427,32042988,0.37,pusula,2026_01,2026-04-18 13:52
SAMAT,244532,103183797,0.24,pusula,2026_01,2026-04-18 13:52
FADE,306491,42347497,0.72,pusula,2026_01,2026-04-18 13:52
DOKTA,13476,145872862,0.01,pusula,2026_01,2026-04-18 13:52
ATAKP,19778,28224000,0.07,pusula,2026_01,2026-04-18 13:52
TCKRC,26559,70000000,0.04,pusula,2026_01,2026-04-18 13:52
OZATD,23093,13349933,0.17,pusula,2026_01,2026-04-18 13:52
KRONT,22768,116892885,0.02,pusula,2026_01,2026-04-18 13:52
AGESA,15427,35829553,0.04,pusula,2026_01,2026-04-18 13:52
VSNMD,34112,24000000,0.14,pusula,2026_01,2026-04-18 13:52
VERTU,32265,22000000,0.15,pusula,2026_01,2026-04-18 13:52
HKTM,65833,72747500,0.09,pusula,2026_01,2026-04-18 13:52
BUCIM,63959,1286538062,0.0,pusula,2026_01,2026-04-18 13:52
SKYLP,10880,7159255,0.15,pusula,2026_01,2026-04-18 13:52
OYAYO,26375,19999941,0.13,pusula,2026_01,2026-04-18 13:52
ISMEN,88785,467723147,0.02,pusula,2026_01,2026-04-18 13:52
DOFER,25169,19572500,0.13,pusula,2026_01,2026-04-18 13:52
YEOTK,72837,160933198,0.05,pusula,2026_01,2026-04-18 13:52
NETAS,10027,31783484,0.03,pusula,2026_01,2026-04-18 13:52
KARTN,21932,72781126,0.03,pusula,2026_01,2026-04-18 13:52
ENJSA,19203,236211770,0.01,pusula,2026_01,2026-04-18 13:52
ARASE,13981,49999991,0.03,pusula,2026_01,2026-04-18 13:52
ALKLC,36454,45382467,0.08,pusula,2026_01,2026-04-18 13:52
TKFEN,23991,230848007,0.01,pusula,2026_01,2026-04-18 13:52
BOSSA,24841,508724189,0.0,pusula,2026_01,2026-04-18 13:52
GRSEL,15137,29650000,0.05,pusula,2026_01,2026-04-18 13:52
MERCN,91186,74389005,0.12,pusula,2026_01,2026-04-18 13:52
LOGO,4859,74328248,0.01,pusula,2026_01,2026-04-18 13:52
TMSN,31099,44449988,0.07,pusula,2026_01,2026-04-18 13:52
EGGUB,7932,75862114,0.01,pusula,2026_01,2026-04-18 13:52
TTKOM,52178,524999999,0.01,pusula,2026_01,2026-04-18 13:52
VKING,20875,30932905,0.07,pusula,2026_01,2026-04-18 13:52
ULUSE,5351,24000000,0.02,pusula,2026_01,2026-04-18 13:52
AVHOL,10669,26047279,0.04,pusula,2026_01,2026-04-18 13:52
LYDHO,37777,197140910,0.02,pusula,2026_01,2026-04-18 13:52
MACKO,54039,41453550,0.13,pusula,2026_01,2026-04-18 13:52
VBTYZ,60848,55935000,0.11,pusula,2026_01,2026-04-18 13:52
CRDFA,81125,74996853,0.11,pusula,2026_01,2026-04-18 13:52
SUWEN,48183,365687500,0.01,pusula,2026_01,2026-04-18 13:52
SANEL,25992,18112451,0.14,pusula,2026_01,2026-04-18 13:52
KRDMB,14768,118762110,0.01,pusula,2026_01,2026-04-18 13:52
ECZYT,7846,45880511,0.02,pusula,2026_01,2026-04-18 13:52
AVPGY,19101,100000000,0.02,pusula,2026_01,2026-04-18 13:52
BALAT,105491,13585960,0.78,pusula,2026_01,2026-04-18 13:52
RAYSG,8902,51947024,0.02,pusula,2026_01,2026-04-18 13:52
ADEL,28329,112043619,0.03,pusula,2026_01,2026-04-18 13:52
ALARK,46824,164975148,0.03,pusula,2026_01,2026-04-18 13:52
VESBE,61357,503578676,0.01,pusula,2026_01,2026-04-18 13:52
BRLSM,127937,108025075,0.12,pusula,2026_01,2026-04-18 13:52
DGNMO,93040,327634635,0.03,pusula,2026_01,2026-04-18 13:52
MERIT,6226,329748900,0.0,pusula,2026_01,2026-04-18 13:52
GRNYO,12988,37386059,0.03,pusula,2026_01,2026-04-18 13:52
ISBIR,7525,14500244,0.05,pusula,2026_01,2026-04-18 13:52
ERSU,13592,31755894,0.04,pusula,2026_01,2026-04-18 13:52
OYYAT,20034,91048322,0.02,pusula,2026_01,2026-04-18 13:52
PENGD,95224,171069968,0.06,pusula,2026_01,2026-04-18 13:52
OTTO,6125,5474438,0.11,pusula,2026_01,2026-04-18 13:52
INVES,2043,37480000,0.01,pusula,2026_01,2026-04-18 13:52
DEVA,14702,199971814,0.01,pusula,2026_01,2026-04-18 13:52
