hisse,adet2,tks2,oran,tip,donem,yukleme
GSDHO,97461322,999994969,9.75,fon,2026_01,2026-04-18 13:52
HEKTS,189719685,3946474643,4.81,fon,2026_01,2026-04-18 13:52
BORSK,2660722,279999879,0.95,fon,2026_01,2026-04-18 13:52
ARASE,6167115,49999991,12.33,fon,2026_01,2026-04-18 13:52
BLUME,2737507,174710134,1.57,fon,2026_01,2026-04-18 13:52
YATAS,11082237,94866488,11.68,fon,2026_01,2026-04-18 13:52
GUBRF,7531036,85359737,8.82,fon,2026_01,2026-04-18 13:52
BEGYO,901106,277250000,0.33,fon,2026_01,2026-04-18 13:52
ZGOLDF,13958656,152040000,9.18,fon,2026_01,2026-04-18 13:52
RUBNS,589747,42377765,1.39,fon,2026_01,2026-04-18 13:52
MNDRS,8082301,222007982,3.64,fon,2026_01,2026-04-18 13:52
TEZOL,599735,139835975,0.43,fon,2026_01,2026-04-18 13:52
PAPIL,6545784,206247674,3.17,fon,2026_01,2026-04-18 13:52
OZSUB,1272889,42499126,3.0,fon,2026_01,2026-04-18 13:52
FROTO,48584174,625120847,7.77,fon,2026_01,2026-04-18 13:52
VESBE,4158359,503578676,0.83,fon,2026_01,2026-04-18 13:52
HRKET,1467421,24000000,6.11,fon,2026_01,2026-04-18 13:52
MTRKS,2726550,43633165,6.25,fon,2026_01,2026-04-18 13:52
ALKIM,14387542,182767821,7.87,fon,2026_01,2026-04-18 13:52
AGROT,463672,843999770,0.05,fon,2026_01,2026-04-18 13:52
LILAK,163622623,260252730,62.87,fon,2026_01,2026-04-18 13:52
BAHKM,2860335,23289000,12.28,fon,2026_01,2026-04-18 13:52
IZENR,15306909,914537597,1.67,fon,2026_01,2026-04-18 13:52
DARDL,21687369,1753442695,1.24,fon,2026_01,2026-04-18 13:52
AGXAAC,1947036,35877518,5.43,fon,2026_01,2026-04-18 13:52
AYES,886370,86971609,1.02,fon,2026_01,2026-04-18 13:52
DESA,4403682,171107590,2.57,fon,2026_01,2026-04-18 13:52
AHGAZ,104143494,659370871,15.79,fon,2026_01,2026-04-18 13:52
IHLAS,445091,1396079076,0.03,fon,2026_01,2026-04-18 13:52
KNFRT,427000,131747000,0.32,fon,2026_01,2026-04-18 13:52
TMPOL,5600032,11039990,50.72,fon,2026_01,2026-04-18 13:52
ECOGR,544204,109980000,0.49,fon,2026_01,2026-04-18 13:52
CEMTS,4015901,233425986,1.72,fon,2026_01,2026-04-18 13:52
TKNSA,11232581,100485379,11.18,fon,2026_01,2026-04-18 13:52
EGPRO,1155063,175170570,0.66,fon,2026_01,2026-04-18 13:52
ULUUN,35577947,290523352,12.25,fon,2026_01,2026-04-18 13:52
BALSU,102461705,278000000,36.86,fon,2026_01,2026-04-18 13:52
TCKRC,5849945,70000000,8.36,fon,2026_01,2026-04-18 13:52
AFYON,13285615,399992258,3.32,fon,2026_01,2026-04-18 13:52
ASUZU,939891,41130807,2.29,fon,2026_01,2026-04-18 13:52
DAGI,35637840,175301274,20.33,fon,2026_01,2026-04-18 13:52
VANGD,1382986,24374995,5.67,fon,2026_01,2026-04-18 13:52
HTTBT,13171261,82805422,15.91,fon,2026_01,2026-04-18 13:52
MGROS,12119845,96563547,12.55,fon,2026_01,2026-04-18 13:52
TATGD,3802742,119284718,3.19,fon,2026_01,2026-04-18 13:52
PINSU,870419,101635846,0.86,fon,2026_01,2026-04-18 13:52
YKSLN,1580747,197429570,0.8,fon,2026_01,2026-04-18 13:52
PETUN,3485788,134673118,2.59,fon,2026_01,2026-04-18 13:52
ARENA,2899483,66996461,4.33,fon,2026_01,2026-04-18 13:52
TMSN,1663334,44449988,3.74,fon,2026_01,2026-04-18 13:52
VBTYZ,3410129,55935000,6.1,fon,2026_01,2026-04-18 13:52
ALCTL,1095381,13543218,8.09,fon,2026_01,2026-04-18 13:52
AKFIS,8288900,66841328,12.4,fon,2026_01,2026-04-18 13:52
KIMMR,1702682,75000000,2.27,fon,2026_01,2026-04-18 13:52
BRKSN,955569,62639942,1.53,fon,2026_01,2026-04-18 13:52
ENSRI,120760530,236333503,51.1,fon,2026_01,2026-04-18 13:52
PENTA,7593277,181070136,4.19,fon,2026_01,2026-04-18 13:52
BIGEN,552724,115500000,0.48,fon,2026_01,2026-04-18 13:52
