hisse,adet2,adet_fark,tks2,oran2,pp_fark,dolasim_pct,kurum,donem,tip,yukleme
RUBNS,552449,64446,36420000,1.5169,0.177,0.177,TEB,2025_10,aylik,2026-05-01 15:30
EUYO,409646,63190,19932876,2.0551,0.317,0.317,TEB,2025_10,aylik,2026-05-01 15:30
ASTOR,8814207,62462,366896261,2.4024,0.0171,0.017,TEB,2025_10,aylik,2026-05-01 15:30
CUSAN,508826,61302,18500000,2.7504,0.3314,0.3314,TEB,2025_10,aylik,2026-05-01 15:30
AVGYO,381618,59917,111590302,0.342,0.0537,0.0537,TEB,2025_10,aylik,2026-05-01 15:30
MERCN,806482,59145,74389005,1.0841,0.0795,0.0795,TEB,2025_10,aylik,2026-05-01 15:30
AVHOL,483775,57413,26047279,1.8573,0.2204,0.2204,TEB,2025_10,aylik,2026-05-01 15:30
PAPIL,3833129,57277,206249994,1.8585,0.0278,0.0278,TEB,2025_10,aylik,2026-05-01 15:30
EGGUB,682374,54425,75860131,0.8995,0.0717,0.0717,TEB,2025_10,aylik,2026-05-01 15:30
TRHOL,407930,53936,17635692,2.3131,0.3058,0.3058,TEB,2025_10,aylik,2026-05-01 15:30
AHSGY,358273,50847,49999970,0.7165,0.1016,0.1017,TEB,2025_10,aylik,2026-05-01 15:30
ASUZU,722351,50541,41130807,1.7562,0.1229,0.1229,TEB,2025_10,aylik,2026-05-01 15:30
DOKTA,518483,49633,145872862,0.3554,0.034,0.034,TEB,2025_10,aylik,2026-05-01 15:30
BIOEN,2624723,47930,197983419,1.3257,0.0242,0.0242,TEB,2025_10,aylik,2026-05-01 15:30
KLNMA,2161756,47526,91846864,2.3537,0.0518,0.0517,TEB,2025_10,aylik,2026-05-01 15:30
KLMSN,325672,46819,30881297,1.0546,0.1516,0.1516,TEB,2025_10,aylik,2026-05-01 15:30
GARFA,759195,46447,138399778,0.5486,0.0336,0.0336,TEB,2025_10,aylik,2026-05-01 15:30
ERSU,551016,45581,31755894,1.7352,0.1436,0.1435,TEB,2025_10,aylik,2026-05-01 15:30
SMRTG,2772774,44947,163421277,1.6967,0.0275,0.0275,TEB,2025_10,aylik,2026-05-01 15:30
KRDMB,585297,44429,118762111,0.4928,0.0374,0.0374,TEB,2025_10,aylik,2026-05-01 15:30
SKYMD,1787244,41801,52499980,3.4043,0.0796,0.0796,TEB,2025_10,aylik,2026-05-01 15:30
SAYAS,800098,40504,42530887,1.8812,0.0952,0.0952,TEB,2025_10,aylik,2026-05-01 15:30
FLAP,1632377,39942,93599986,1.744,0.0427,0.0427,TEB,2025_10,aylik,2026-05-01 15:30
YBTAS,414655,39664,31301133,1.3247,0.1267,0.1267,TEB,2025_10,aylik,2026-05-01 15:30
BIGCH,438308,39619,73786589,0.594,0.0537,0.0537,TEB,2025_10,aylik,2026-05-01 15:30
IDGYO,1192364,39039,119234993,1.0,0.0327,0.0327,TEB,2025_10,aylik,2026-05-01 15:30
BIMAS,605789,38864,436213978,0.1389,0.0089,0.0089,TEB,2025_10,aylik,2026-05-01 15:30
KAYSE,1478957,38836,190576082,0.776,0.0203,0.0204,TEB,2025_10,aylik,2026-05-01 15:30
DMSAS,2079548,35497,199994510,1.0398,0.0177,0.0177,TEB,2025_10,aylik,2026-05-01 15:30
LOGO,218004,35033,74328248,0.2933,0.0471,0.0471,TEB,2025_10,aylik,2026-05-01 15:30
HRKET,320085,34969,24000000,1.3337,0.1457,0.1457,TEB,2025_10,aylik,2026-05-01 15:30
KIMMR,632834,34477,75000000,0.8438,0.046,0.046,TEB,2025_10,aylik,2026-05-01 15:30
DYOBY,3084687,34148,186553687,1.6535,0.0183,0.0183,TEB,2025_10,aylik,2026-05-01 15:30
JANTS,2015365,33953,206899362,0.9741,0.0164,0.0164,TEB,2025_10,aylik,2026-05-01 15:30
ESCAR,1395716,33456,101933691,1.3692,0.0328,0.0328,TEB,2025_10,aylik,2026-05-01 15:30
BIENY,2662864,32259,83144831,3.2027,0.0388,0.0388,TEB,2025_10,aylik,2026-05-01 15:30
PKART,142640,30226,11048497,1.291,0.2735,0.2736,TEB,2025_10,aylik,2026-05-01 15:30
SANFM,3191011,29788,225030001,1.418,0.0132,0.0132,TEB,2025_10,aylik,2026-05-01 15:30
DITAS,434510,29253,41703723,1.0419,0.0701,0.0701,TEB,2025_10,aylik,2026-05-01 15:30
ALBRK,4239584,28868,1050477279,0.4036,0.0028,0.0027,TEB,2025_10,aylik,2026-05-01 15:30
MEDTR,333977,28834,24499999,1.3632,0.1177,0.1177,TEB,2025_10,aylik,2026-05-01 15:30
INTEM,69454,27347,9428747,0.7366,0.29,0.29,TEB,2025_10,aylik,2026-05-01 15:30
PSDTC,160986,26860,6599991,2.4392,0.407,0.407,TEB,2025_10,aylik,2026-05-01 15:30
AKSUE,834472,26249,56376184,1.4802,0.0466,0.0466,TEB,2025_10,aylik,2026-05-01 15:30
ATLAS,3245298,25760,59999865,5.4088,0.0429,0.0429,TEB,2025_10,aylik,2026-05-01 15:30
BIZIM,294908,23389,27601626,1.0684,0.0847,0.0847,TEB,2025_10,aylik,2026-05-01 15:30
EKIZ,552383,23309,8198720,6.7374,0.2843,0.2843,TEB,2025_10,aylik,2026-05-01 15:30
DOFER,275407,23046,18672500,1.4749,0.1234,0.1234,TEB,2025_10,aylik,2026-05-01 15:30
SEKUR,753981,21864,37559442,2.0074,0.0582,0.0582,TEB,2025_10,aylik,2026-05-01 15:30
ARENA,2184873,21410,66996461,3.2612,0.032,0.032,TEB,2025_10,aylik,2026-05-01 15:30
DZGYO,2828094,21332,399777846,0.7074,0.0053,0.0053,TEB,2025_10,aylik,2026-05-01 15:30
MAKIM,446127,20995,42559998,1.0482,0.0493,0.0493,TEB,2025_10,aylik,2026-05-01 15:30
SEKFK,563933,19985,62311473,0.905,0.0321,0.0321,TEB,2025_10,aylik,2026-05-01 15:30
BIGTK,62491,19249,8567465,0.7294,0.2247,0.2247,TEB,2025_10,aylik,2026-05-01 15:30
DURKN,927151,17138,42500000,2.1815,0.0403,0.0403,TEB,2025_10,aylik,2026-05-01 15:30
OYAYO,189805,16368,19999941,0.949,0.0818,0.0818,TEB,2025_10,aylik,2026-05-01 15:30
TBORG,206003,15893,59392160,0.3469,0.0268,0.0268,TEB,2025_10,aylik,2026-05-01 15:30
LUKSK,100170,15284,27257202,0.3675,0.0561,0.0561,TEB,2025_10,aylik,2026-05-01 15:30
BINBN,89681,14774,17000000,0.5275,0.0869,0.0869,TEB,2025_10,aylik,2026-05-01 15:30
GLRMK,377901,14591,38760000,0.975,0.0377,0.0376,TEB,2025_10,aylik,2026-05-01 15:30
LYDHO,1085224,14568,44188599,2.4559,0.033,0.033,TEB,2025_10,aylik,2026-05-01 15:30
IZFAS,342676,13169,52000499,0.659,0.0253,0.0253,TEB,2025_10,aylik,2026-05-01 15:30
KARTN,334615,13018,72781127,0.4598,0.0179,0.0179,TEB,2025_10,aylik,2026-05-01 15:30
ARTMS,252244,12739,24199999,1.0423,0.0526,0.0526,TEB,2025_10,aylik,2026-05-01 15:30
DSTKF,63905,12424,83333333,0.0767,0.0149,0.0149,TEB,2025_10,aylik,2026-05-01 15:30
SONME,56893,12097,4081660,1.3939,0.2964,0.2964,TEB,2025_10,aylik,2026-05-01 15:30
CEMTS,4400778,11639,233425986,1.8853,0.005,0.005,TEB,2025_10,aylik,2026-05-01 15:30
ARASE,326253,10812,49999992,0.6525,0.0216,0.0216,TEB,2025_10,aylik,2026-05-01 15:30
MEPET,160317,10738,73940585,0.2168,0.0145,0.0145,TEB,2025_10,aylik,2026-05-01 15:30
COSMO,48789,10384,6494091,0.7513,0.1599,0.1599,TEB,2025_10,aylik,2026-05-01 15:30
EGEGY,277229,10079,61200000,0.453,0.0165,0.0165,TEB,2025_10,aylik,2026-05-01 15:30
KLKIM,2271729,10067,138383655,1.6416,0.0073,0.0073,TEB,2025_10,aylik,2026-05-01 15:30
SAMAT,1293349,9650,103183797,1.2534,0.0093,0.0094,TEB,2025_10,aylik,2026-05-01 15:30
BRSAN,2823716,9605,35912460,7.8628,0.0268,0.0267,TEB,2025_10,aylik,2026-05-01 15:30
HATEK,597734,9401,62998947,0.9488,0.0149,0.0149,TEB,2025_10,aylik,2026-05-01 15:30
DGGYO,235438,9232,280709437,0.0839,0.0033,0.0033,TEB,2025_10,aylik,2026-05-01 15:30
YAPRK,84803,8739,4214998,2.0119,0.2073,0.2073,TEB,2025_10,aylik,2026-05-01 15:30
TLMAN,115501,8379,10300000,1.1214,0.0814,0.0813,TEB,2025_10,aylik,2026-05-01 15:30
YGGYO,908926,8163,240625741,0.3777,0.0034,0.0034,TEB,2025_10,aylik,2026-05-01 15:30
SDTTR,215904,8121,15990000,1.3502,0.0507,0.0508,TEB,2025_10,aylik,2026-05-01 15:30
SANEL,176313,8046,18112451,0.9734,0.0444,0.0444,TEB,2025_10,aylik,2026-05-01 15:30
MPARK,101267,7803,80869110,0.1252,0.0096,0.0096,TEB,2025_10,aylik,2026-05-01 15:30
PAGYO,173177,7283,57081202,0.3034,0.0128,0.0128,TEB,2025_10,aylik,2026-05-01 15:30
AVPGY,775107,7056,100000000,0.7751,0.007,0.0071,TEB,2025_10,aylik,2026-05-01 15:30
DIRIT,218343,5949,10066255,2.1691,0.0591,0.0591,TEB,2025_10,aylik,2026-05-01 15:30
GUNDG,37300,5231,17799972,0.2096,0.0294,0.0294,TEB,2025_10,aylik,2026-05-01 15:30
ATSYH,121563,4707,7998869,1.5198,0.0589,0.0588,TEB,2025_10,aylik,2026-05-01 15:30
OTKAR,1608740,4282,33417185,4.8141,0.0128,0.0128,TEB,2025_10,aylik,2026-05-01 15:30
PARSN,1220995,2998,33414282,3.6541,0.009,0.009,TEB,2025_10,aylik,2026-05-01 15:30
RGYAS,88148,2915,105523000,0.0835,0.0027,0.0028,TEB,2025_10,aylik,2026-05-01 15:30
AYGAZ,243445,2735,98568782,0.247,0.0028,0.0028,TEB,2025_10,aylik,2026-05-01 15:30
ERBOS,254408,2667,15899843,1.6001,0.0168,0.0168,TEB,2025_10,aylik,2026-05-01 15:30
BRYAT,314921,2322,9423748,3.3418,0.0247,0.0246,TEB,2025_10,aylik,2026-05-01 15:30
MACKO,922595,2225,41500000,2.2231,0.0053,0.0054,TEB,2025_10,aylik,2026-05-01 15:30
NETAS,666324,2137,31783484,2.0964,0.0067,0.0067,TEB,2025_10,aylik,2026-05-01 15:30
RAYSG,215073,1968,51947024,0.414,0.0038,0.0038,TEB,2025_10,aylik,2026-05-01 15:30
CASA,60628,1491,4893757,1.2389,0.0305,0.0305,TEB,2025_10,aylik,2026-05-01 15:30
CEMAS,11988477,1438,790994683,1.5156,0.0002,0.0002,TEB,2025_10,aylik,2026-05-01 15:30
MEGAP,4843169,1092,234498757,2.0653,0.0004,0.0005,TEB,2025_10,aylik,2026-05-01 15:30
CMBTN,13500,1059,1023000,1.3196,0.1035,0.1035,TEB,2025_10,aylik,2026-05-01 15:30
GATEG,166871,868,7098504,2.3508,0.0122,0.0122,TEB,2025_10,aylik,2026-05-01 15:30
ECZYT,430708,821,45880511,0.9388,0.0018,0.0018,TEB,2025_10,aylik,2026-05-01 15:30
KAPLM,42359,722,3359432,1.2609,0.0215,0.0215,TEB,2025_10,aylik,2026-05-01 15:30
EMNIS,24835,717,3429235,0.7242,0.0209,0.0209,TEB,2025_10,aylik,2026-05-01 15:30
ADGYO,495586,675,82499970,0.6007,0.0008,0.0008,TEB,2025_10,aylik,2026-05-01 15:30
MAALT,64529,499,3090893,2.0877,0.0161,0.0161,TEB,2025_10,aylik,2026-05-01 15:30
GOLTS,188701,246,12422783,1.519,0.002,0.002,TEB,2025_10,aylik,2026-05-01 15:30
ALCAR,68674,215,1721735,3.9887,0.0125,0.0125,TEB,2025_10,aylik,2026-05-01 15:30
POLTK,1562,65,1125000,0.1388,0.0057,0.0058,TEB,2025_10,aylik,2026-05-01 15:30
KSTUR,6384,-10,3952041,0.1615,-0.0003,-0.0003,TEB,2025_10,aylik,2026-05-01 15:30
ATEKS,505445,-88,5441598,9.2885,-0.0017,-0.0016,TEB,2025_10,aylik,2026-05-01 15:30
AYCES,51292,-320,1895369,2.7062,-0.0169,-0.0169,TEB,2025_10,aylik,2026-05-01 15:30
UFUK,4860,-547,46845974,0.0104,-0.0011,-0.0012,TEB,2025_10,aylik,2026-05-01 15:30
ATATP,66308,-802,18809999,0.3525,-0.0043,-0.0043,TEB,2025_10,aylik,2026-05-01 15:30
DGATE,180923,-824,15227271,1.1882,-0.0054,-0.0054,TEB,2025_10,aylik,2026-05-01 15:30
GRTHO,48513,-835,36745000,0.132,-0.0023,-0.0023,TEB,2025_10,aylik,2026-05-01 15:30
ERCB,276641,-1186,18270475,1.5141,-0.0065,-0.0065,TEB,2025_10,aylik,2026-05-01 15:30
EGEEN,23846,-1232,1137161,2.097,-0.1083,-0.1083,TEB,2025_10,aylik,2026-05-01 15:30
MRSHL,10267,-1336,4212888,0.2437,-0.0317,-0.0317,TEB,2025_10,aylik,2026-05-01 15:30
VERUS,376974,-1391,34499937,1.0927,-0.004,-0.004,TEB,2025_10,aylik,2026-05-01 15:30
CLEBI,48985,-1788,5490178,0.8922,-0.0326,-0.0326,TEB,2025_10,aylik,2026-05-01 15:30
TRCAS,2002307,-2397,206252778,0.9708,-0.0012,-0.0012,TEB,2025_10,aylik,2026-05-01 15:30
DESPC,137623,-2599,16023700,0.8589,-0.0162,-0.0162,TEB,2025_10,aylik,2026-05-01 15:30
MZHLD,1168900,-3331,72215314,1.6186,-0.0046,-0.0046,TEB,2025_10,aylik,2026-05-01 15:30
AKMGY,56646,-3520,21568998,0.2626,-0.0163,-0.0163,TEB,2025_10,aylik,2026-05-01 15:30
RYGYO,3555601,-3673,770563057,0.4614,-0.0005,-0.0005,TEB,2025_10,aylik,2026-05-01 15:30
GLBMD,370669,-4074,28644500,1.294,-0.0143,-0.0142,TEB,2025_10,aylik,2026-05-01 15:30
TCKRC,339912,-4610,50000000,0.6798,-0.0092,-0.0092,TEB,2025_10,aylik,2026-05-01 15:30
EDIP,617829,-6357,36468203,1.6942,-0.0174,-0.0174,TEB,2025_10,aylik,2026-05-01 15:30
GLCVY,546682,-7503,26400000,2.0708,-0.0284,-0.0284,TEB,2025_10,aylik,2026-05-01 15:30
PKENT,91866,-8163,21316169,0.431,-0.0383,-0.0383,TEB,2025_10,aylik,2026-05-01 15:30
BAKAB,161608,-8392,34985326,0.4619,-0.024,-0.024,TEB,2025_10,aylik,2026-05-01 15:30
BANVT,107376,-8418,36961044,0.2905,-0.0228,-0.0228,TEB,2025_10,aylik,2026-05-01 15:30
FMIZP,54466,-8822,3497751,1.5572,-0.2522,-0.2522,TEB,2025_10,aylik,2026-05-01 15:30
AGYO,765872,-9001,129036248,0.5935,-0.007,-0.007,TEB,2025_10,aylik,2026-05-01 15:30
BRISA,811041,-9314,31247472,2.5955,-0.0298,-0.0298,TEB,2025_10,aylik,2026-05-01 15:30
KBORU,2234536,-9524,143999988,1.5518,-0.0066,-0.0066,TEB,2025_10,aylik,2026-05-01 15:30
ETYAT,152905,-9798,18754055,0.8153,-0.0523,-0.0522,TEB,2025_10,aylik,2026-05-01 15:30
UNLU,606434,-10911,84681519,0.7161,-0.0129,-0.0129,TEB,2025_10,aylik,2026-05-01 15:30
SELEC,746883,-10915,124262097,0.6011,-0.0087,-0.0088,TEB,2025_10,aylik,2026-05-01 15:30
ISMEN,4641186,-12377,467723128,0.9923,-0.0026,-0.0026,TEB,2025_10,aylik,2026-05-01 15:30
KOPOL,4055456,-15231,266339652,1.5227,-0.0057,-0.0057,TEB,2025_10,aylik,2026-05-01 15:30
BVSAN,201901,-15494,13749999,1.4684,-0.1127,-0.1127,TEB,2025_10,aylik,2026-05-01 15:30
KERVN,2735246,-16080,588346973,0.4649,-0.0027,-0.0027,TEB,2025_10,aylik,2026-05-01 15:30
OSTIM,6511899,-16285,510651063,1.2752,-0.0032,-0.0032,TEB,2025_10,aylik,2026-05-01 15:30
NUHCM,140792,-16601,33110899,0.4252,-0.0502,-0.0501,TEB,2025_10,aylik,2026-05-01 15:30
MARKA,321559,-17323,20487018,1.5696,-0.0845,-0.0846,TEB,2025_10,aylik,2026-05-01 15:30
KRTEK,396175,-17404,18764650,2.1113,-0.0927,-0.0927,TEB,2025_10,aylik,2026-05-01 15:30
BMSTL,1282267,-17571,74772261,1.7149,-0.0235,-0.0235,TEB,2025_10,aylik,2026-05-01 15:30
ATAGY,258180,-18676,45670113,0.5653,-0.0409,-0.0409,TEB,2025_10,aylik,2026-05-01 15:30
ELITE,1379038,-19118,44650000,3.0886,-0.0428,-0.0428,TEB,2025_10,aylik,2026-05-01 15:30
TURGG,1087079,-19512,32042988,3.3926,-0.0609,-0.0609,TEB,2025_10,aylik,2026-05-01 15:30
ODINE,318559,-19571,52576856,0.6059,-0.0372,-0.0372,TEB,2025_10,aylik,2026-05-01 15:30
ENSRI,292454,-20455,50556326,0.5785,-0.0404,-0.0405,TEB,2025_10,aylik,2026-05-01 15:30
SILVR,4066011,-22772,212818198,1.9106,-0.0107,-0.0107,TEB,2025_10,aylik,2026-05-01 15:30
AVOD,3160798,-23498,253604577,1.2463,-0.0093,-0.0093,TEB,2025_10,aylik,2026-05-01 15:30
TDGYO,151129,-23850,57901114,0.261,-0.0412,-0.0412,TEB,2025_10,aylik,2026-05-01 15:30
MTRKS,790935,-23883,43633166,1.8127,-0.0547,-0.0547,TEB,2025_10,aylik,2026-05-01 15:30
GRSEL,291054,-24190,29650000,0.9816,-0.0816,-0.0816,TEB,2025_10,aylik,2026-05-01 15:30
GENIL,617228,-24821,79937999,0.7721,-0.0311,-0.0311,TEB,2025_10,aylik,2026-05-01 15:30
CRFSA,256073,-25313,18313273,1.3983,-0.1382,-0.1382,TEB,2025_10,aylik,2026-05-01 15:30
BYDNR,410668,-25837,17999984,2.2815,-0.1435,-0.1435,TEB,2025_10,aylik,2026-05-01 15:30
ACSEL,155809,-26402,8589499,1.8139,-0.3074,-0.3074,TEB,2025_10,aylik,2026-05-01 15:30
BRMEN,1136028,-26910,44445252,2.556,-0.0606,-0.0605,TEB,2025_10,aylik,2026-05-01 15:30
GZNMI,183504,-29389,40949825,0.4481,-0.0718,-0.0718,TEB,2025_10,aylik,2026-05-01 15:30
EUPWR,2933170,-29813,199610450,1.4694,-0.015,-0.0149,TEB,2025_10,aylik,2026-05-01 15:30
BALSU,582504,-30693,278000000,0.2095,-0.0111,-0.011,TEB,2025_10,aylik,2026-05-01 15:30
ALGYO,4287867,-32504,141336768,3.0338,-0.023,-0.023,TEB,2025_10,aylik,2026-05-01 15:30
ARCLK,1060561,-33653,170054677,0.6237,-0.0197,-0.0198,TEB,2025_10,aylik,2026-05-01 15:30
KLSER,1579270,-34288,109457095,1.4428,-0.0313,-0.0313,TEB,2025_10,aylik,2026-05-01 15:30
TTRAK,299563,-35347,24967458,1.1998,-0.1416,-0.1416,TEB,2025_10,aylik,2026-05-01 15:30
BASGZ,1069063,-35528,174999998,0.6109,-0.0203,-0.0203,TEB,2025_10,aylik,2026-05-01 15:30
ARMGD,385872,-35576,54996000,0.7016,-0.0647,-0.0647,TEB,2025_10,aylik,2026-05-01 15:30
NTGAZ,2930512,-36371,275999988,1.0618,-0.0132,-0.0132,TEB,2025_10,aylik,2026-05-01 15:30
ISYAT,1362608,-37224,152245569,0.895,-0.0245,-0.0244,TEB,2025_10,aylik,2026-05-01 15:30
BURVA,53398,-39253,4723271,1.1305,-0.8311,-0.8311,TEB,2025_10,aylik,2026-05-01 15:30
YEOTK,3355184,-43575,160933198,2.0848,-0.0271,-0.0271,TEB,2025_10,aylik,2026-05-01 15:30
AGESA,58905,-48364,35829553,0.1644,-0.135,-0.135,TEB,2025_10,aylik,2026-05-01 15:30
ALCTL,470051,-49535,13543148,3.4708,-0.3657,-0.3658,TEB,2025_10,aylik,2026-05-01 15:30
ISGSY,518464,-49575,47378729,1.0943,-0.1046,-0.1046,TEB,2025_10,aylik,2026-05-01 15:30
GEDIK,2303469,-50146,983076852,0.2343,-0.0051,-0.0051,TEB,2025_10,aylik,2026-05-01 15:30
HOROZ,393429,-50685,24599986,1.5993,-0.206,-0.206,TEB,2025_10,aylik,2026-05-01 15:30
ATAKP,234240,-52175,28223986,0.8299,-0.1849,-0.1849,TEB,2025_10,aylik,2026-05-01 15:30
BFREN,379845,-53878,24586148,1.545,-0.2191,-0.2191,TEB,2025_10,aylik,2026-05-01 15:30
VANGD,472502,-53990,24374995,1.9385,-0.2215,-0.2215,TEB,2025_10,aylik,2026-05-01 15:30
DOGUB,151183,-54559,19821566,0.7627,-0.2753,-0.2753,TEB,2025_10,aylik,2026-05-01 15:30
RODRG,201825,-54814,16312352,1.2373,-0.336,-0.336,TEB,2025_10,aylik,2026-05-01 15:30
EBEBK,197540,-55728,40534692,0.4873,-0.1375,-0.1375,TEB,2025_10,aylik,2026-05-01 15:30
ULUSE,65356,-55967,24000000,0.2723,-0.2332,-0.2332,TEB,2025_10,aylik,2026-05-01 15:30
KLRHO,43234,-56018,341250000,0.0127,-0.0164,-0.0164,TEB,2025_10,aylik,2026-05-01 15:30
KONTR,7069356,-58484,420845219,1.6798,-0.0139,-0.0139,TEB,2025_10,aylik,2026-05-01 15:30
MERIT,1722130,-58765,329683116,0.5224,-0.0178,-0.0178,TEB,2025_10,aylik,2026-05-01 15:30
MNDRS,3364893,-58998,222007982,1.5157,-0.0265,-0.0266,TEB,2025_10,aylik,2026-05-01 15:30
NUGYO,2582021,-59667,324943975,0.7946,-0.0184,-0.0184,TEB,2025_10,aylik,2026-05-01 15:30
SMRVA,38033,-59881,28000000,0.1358,-0.2139,-0.2139,TEB,2025_10,aylik,2026-05-01 15:30
BRKVY,282385,-61391,13618361,2.0736,-0.4508,-0.4508,TEB,2025_10,aylik,2026-05-01 15:30
PNLSN,199303,-61661,34752383,0.5735,-0.1774,-0.1774,TEB,2025_10,aylik,2026-05-01 15:30
EMKEL,971871,-62622,149999456,0.6479,-0.0418,-0.0417,TEB,2025_10,aylik,2026-05-01 15:30
KAREL,3932741,-65531,321659498,1.2226,-0.0204,-0.0204,TEB,2025_10,aylik,2026-05-01 15:30
ANGEN,1920179,-66367,84800000,2.2644,-0.0782,-0.0783,TEB,2025_10,aylik,2026-05-01 15:30
HKTM,1022029,-69790,72750000,1.4049,-0.0959,-0.0959,TEB,2025_10,aylik,2026-05-01 15:30
MAVI,2763360,-70606,576779312,0.4791,-0.0122,-0.0122,TEB,2025_10,aylik,2026-05-01 15:30
OZRDN,458215,-73193,57107579,0.8024,-0.1281,-0.1282,TEB,2025_10,aylik,2026-05-01 15:30
DUNYH,137614,-76337,36443197,0.3776,-0.2095,-0.2095,TEB,2025_10,aylik,2026-05-01 15:30
CRDFA,1829379,-79901,74996853,2.4393,-0.1065,-0.1065,TEB,2025_10,aylik,2026-05-01 15:30
SURGY,469599,-90252,44999990,1.0436,-0.2005,-0.2006,TEB,2025_10,aylik,2026-05-01 15:30
CONSE,5546377,-90670,377854899,1.4679,-0.024,-0.024,TEB,2025_10,aylik,2026-05-01 15:30
AGROT,7867479,-93986,385999885,2.0382,-0.0244,-0.0243,TEB,2025_10,aylik,2026-05-01 15:30
GESAN,2024698,-95553,141759180,1.4283,-0.0674,-0.0674,TEB,2025_10,aylik,2026-05-01 15:30
SUNTK,39672,-95836,145280000,0.0273,-0.066,-0.066,TEB,2025_10,aylik,2026-05-01 15:30
GOKNR,1089467,-96497,167285655,0.6513,-0.0576,-0.0577,TEB,2025_10,aylik,2026-05-01 15:30
TATEN,457674,-97973,70199931,0.652,-0.1395,-0.1396,TEB,2025_10,aylik,2026-05-01 15:30
KTLEV,9993804,-100257,1288500000,0.7756,-0.0078,-0.0078,TEB,2025_10,aylik,2026-05-01 15:30
ALKIM,2373000,-101806,182367821,1.3012,-0.0558,-0.0558,TEB,2025_10,aylik,2026-05-01 15:30
ALKLC,750800,-102583,40000739,1.877,-0.2564,-0.2565,TEB,2025_10,aylik,2026-05-01 15:30
INDES,3969153,-107081,462749768,0.8577,-0.0232,-0.0231,TEB,2025_10,aylik,2026-05-01 15:30
HTTBT,3381847,-111969,82805422,4.0841,-0.1352,-0.1352,TEB,2025_10,aylik,2026-05-01 15:30
VSNMD,474761,-112178,24000000,1.9782,-0.4674,-0.4674,TEB,2025_10,aylik,2026-05-01 15:30
TNZTP,787218,-119705,87496826,0.8997,-0.1368,-0.1368,TEB,2025_10,aylik,2026-05-01 15:30
DAGI,2362349,-121721,175301273,1.3476,-0.0694,-0.0694,TEB,2025_10,aylik,2026-05-01 15:30
PASEU,1069223,-124312,215296000,0.4966,-0.0578,-0.0577,TEB,2025_10,aylik,2026-05-01 15:30
SANKO,281166,-135049,37499197,0.7498,-0.3601,-0.3601,TEB,2025_10,aylik,2026-05-01 15:30
MIATK,5090975,-140670,313087979,1.6261,-0.0449,-0.0449,TEB,2025_10,aylik,2026-05-01 15:30
RYSAS,3991554,-140867,1504020937,0.2654,-0.0094,-0.0094,TEB,2025_10,aylik,2026-05-01 15:30
ISCTR,89706600,-140972,8880400759,1.0102,-0.0016,-0.0016,TEB,2025_10,aylik,2026-05-01 15:30
TAVHL,1645981,-141299,213213415,0.772,-0.0663,-0.0663,TEB,2025_10,aylik,2026-05-01 15:30
BMSCH,522791,-156714,69277402,0.7546,-0.2262,-0.2262,TEB,2025_10,aylik,2026-05-01 15:30
KRGYO,3086440,-159225,275269701,1.1212,-0.0579,-0.0578,TEB,2025_10,aylik,2026-05-01 15:30
AGHOL,35620239,-159825,1068822243,3.3327,-0.0149,-0.015,TEB,2025_10,aylik,2026-05-01 15:30
GOZDE,1499695,-163646,384992447,0.3895,-0.0425,-0.0425,TEB,2025_10,aylik,2026-05-01 15:30
GLRYH,5974650,-166846,599623814,0.9964,-0.0278,-0.0278,TEB,2025_10,aylik,2026-05-01 15:30
EUHOL,2000727,-168105,142999952,1.3991,-0.1176,-0.1176,TEB,2025_10,aylik,2026-05-01 15:30
EFOR,257704,-172263,89999999,0.2863,-0.1914,-0.1914,TEB,2025_10,aylik,2026-05-01 15:30
BRLSM,1888350,-180261,108025075,1.7481,-0.1668,-0.1669,TEB,2025_10,aylik,2026-05-01 15:30
THYAO,9054478,-186295,739464747,1.2245,-0.0252,-0.0252,TEB,2025_10,aylik,2026-05-01 15:30
ANHYT,1375233,-194710,88457041,1.5547,-0.2201,-0.2201,TEB,2025_10,aylik,2026-05-01 15:30
BRKSN,853568,-198316,62639942,1.3627,-0.3166,-0.3166,TEB,2025_10,aylik,2026-05-01 15:30
TEZOL,17266481,-214832,139999979,12.3332,-0.1535,-0.1535,TEB,2025_10,aylik,2026-05-01 15:30
DOFRB,544189,-215286,45000000,1.2093,-0.4784,-0.4784,TEB,2025_10,aylik,2026-05-01 15:30
FRIGO,1504297,-216215,122349993,1.2295,-0.1767,-0.1767,TEB,2025_10,aylik,2026-05-01 15:30
MHRGY,3536950,-218832,310499991,1.1391,-0.0705,-0.0705,TEB,2025_10,aylik,2026-05-01 15:30
DENGE,6858831,-220557,525284801,1.3057,-0.042,-0.042,TEB,2025_10,aylik,2026-05-01 15:30
YATAS,605985,-223167,94866488,0.6388,-0.2352,-0.2352,TEB,2025_10,aylik,2026-05-01 15:30
ANSGR,2484716,-229259,1564416026,0.1588,-0.0147,-0.0147,TEB,2025_10,aylik,2026-05-01 15:30
HUNER,8979794,-233455,670837934,1.3386,-0.0348,-0.0348,TEB,2025_10,aylik,2026-05-01 15:30
MAKTK,2607630,-234031,184370066,1.4143,-0.127,-0.1269,TEB,2025_10,aylik,2026-05-01 15:30
AVTUR,672579,-234512,44967999,1.4957,-0.5215,-0.5215,TEB,2025_10,aylik,2026-05-01 15:30
