hisse,adet2,adet_fark,tks2,oran2,pp_fark,dolasim_pct,kurum,donem,tip,yukleme
DOFRB,774567,415783,45000000,1.7213,0.924,0.924,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
CGCAM,910770,408319,42000000,2.1685,0.9722,0.9722,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ARDYZ,907330,407421,127277471,0.7129,0.3201,0.3201,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
VANGD,651324,391740,24374995,2.6721,1.6071,1.6071,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ALKLC,843573,386897,40000739,2.1089,0.9672,0.9672,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GMTAS,980870,373224,148547413,0.6603,0.2512,0.2512,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BIOEN,1461655,370425,197983419,0.7383,0.1871,0.1871,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BESLR,2580128,357663,658098036,0.3921,0.0544,0.0543,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SAHOL,1292587,357271,1142761169,0.1131,0.0313,0.0313,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EKSUN,1536382,338141,171792833,0.8943,0.1968,0.1968,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BINHO,7440232,333201,488884390,1.5219,0.0682,0.0682,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DOFER,2102888,332178,18672500,11.262,1.779,1.779,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ALGYO,618899,304520,141336768,0.4379,0.2155,0.2155,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KBORU,1836939,297180,143999988,1.2757,0.2064,0.2064,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GENIL,1276289,292594,79937999,1.5966,0.366,0.366,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SRVGY,4518954,285021,812312125,0.5563,0.0351,0.0351,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
HEKTS,16395788,280084,3946441149,0.4155,0.0071,0.0071,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
LMKDC,643320,272189,155929999,0.4126,0.1746,0.1746,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
INVEO,1745084,264631,998999954,0.1747,0.0265,0.0265,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
IHAAS,8825719,263745,56031248,15.7514,0.4707,0.4707,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TATGD,991486,259377,119284669,0.8312,0.2175,0.2174,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
EMKEL,3602933,255644,149999456,2.402,0.1705,0.1704,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DURDO,1886133,255463,379703149,0.4967,0.0672,0.0673,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BUCIM,1753334,253101,1286538062,0.1363,0.0197,0.0197,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
MANAS,1747134,243895,127852000,1.3665,0.1907,0.1908,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
THYAO,1025922,233632,739464747,0.1387,0.0316,0.0316,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
INFO,6223729,220575,767463347,0.8109,0.0287,0.0287,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
BOBET,904080,217834,113999998,0.7931,0.1911,0.1911,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
GSRAY,38072134,214751,10123744690,0.3761,0.0022,0.0021,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ENDAE,533349,206537,118715444,0.4493,0.174,0.174,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KRSTL,6075367,205024,183664642,3.3079,0.1117,0.1116,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
YUNSA,881077,204342,202164056,0.4358,0.1011,0.1011,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KCHOL,810824,201401,674047206,0.1203,0.0299,0.0299,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SELEC,238785,200962,124262097,0.1922,0.1618,0.1617,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
DERHL,41697004,197881,197281314,21.1358,0.1003,0.1003,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
AHGAZ,599926,171170,659370871,0.091,0.026,0.026,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SEYKM,2630491,168930,151040666,1.7416,0.1119,0.1118,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
TOASO,164352,167358,120585066,0.1363,0.1388,0.1388,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
VESTL,633215,165526,295447203,0.2143,0.056,0.056,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
ETILR,1856905,165466,156217451,1.1887,0.106,0.1059,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
SUWEN,1458575,154323,365687500,0.3989,0.0422,0.0422,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
KRDMA,371540,152426,240300918,0.1546,0.0634,0.0634,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
YATAS,564124,151383,94866488,0.5947,0.1596,0.1596,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
POLHO,1302552,141668,164140073,0.7936,0.0863,0.0863,A1_CAPITAL,2025_10,aylik,2026-05-01 15:30
