hisse,kurum,ilk_tarih,ilk_fiyat,ilk_oran,son_tarih,son_fiyat,son_oran,durum
MCARD,HALK YATIRIM,26.04.2026,170.2,4.18,20260512,0.0,4.23,📈 TAKİPTE
MCARD,ZIRAAT YAT.,26.04.2026,170.2,9.05,20260512,0.0,8.72,🎯 BİNGO!
KLYPV,IS YATIRIM,26.04.2026,60.0,15.84,20260512,0.0,16.22,🎯 BİNGO!
KLYPV,AK YATIRIM,26.04.2026,60.0,7.0,20260512,0.0,6.82,🎯 BİNGO!
KLYPV,OSMANLI YATIRIM MENKUL,26.04.2026,60.0,3.54,20260512,0.0,3.13,📈 TAKİPTE
KLYPV,QNB YATIRIM MENKUL,26.04.2026,60.0,3.74,20260512,0.0,3.77,📈 TAKİPTE
KLYPV,YAPI KREDI YAT.,26.04.2026,60.0,4.86,20260512,0.0,5.38,🎯 BİNGO!
KLYPV,GEDIK YATIRIM,26.04.2026,60.0,3.34,20260512,0.0,2.44,⚪ KAPANDI
KLYPV,HALK YATIRIM,26.04.2026,60.0,3.31,20260512,0.0,3.25,📈 TAKİPTE
KLYPV,VAKIF YAT.,26.04.2026,60.0,5.81,20260512,0.0,5.91,🎯 BİNGO!
KLYPV,GARANTI BBVA,26.04.2026,60.0,6.3,20260512,0.0,6.16,🎯 BİNGO!
KLYPV,ZIRAAT YAT.,26.04.2026,60.0,6.12,20260512,0.0,7.05,🎯 BİNGO!
KLYPV,DENIZ YATIRIM,29.04.2026,58.2,3.0,20260512,0.0,2.61,⚪ KAPANDI
BESTE,ZIRAAT YAT.,26.04.2026,25.98,14.41,20260512,0.0,13.63,🎯 BİNGO!
BESTE,VAKIF YAT.,26.04.2026,25.98,10.62,20260512,0.0,9.6,🎯 BİNGO!
BESTE,AK YATIRIM,26.04.2026,25.98,4.52,20260512,0.0,4.43,📈 TAKİPTE
BESTE,GARANTI BBVA,26.04.2026,25.98,10.16,20260512,0.0,8.4,🎯 BİNGO!
BESTE,HALK YATIRIM,26.04.2026,25.98,5.36,20260512,0.0,5.68,🎯 BİNGO!
BESTE,YAPI KREDI YAT.,26.04.2026,25.98,6.6,20260512,0.0,6.62,🎯 BİNGO!
BESTE,OYAK YATIRIM,26.04.2026,25.98,3.05,20260512,0.0,2.55,⚪ KAPANDI
BESTE,IS YATIRIM,26.04.2026,25.98,11.87,20260512,0.0,11.49,🎯 BİNGO!
BESTE,MIDAS MENKUL,26.04.2026,25.98,5.86,20260512,0.0,5.54,🎯 BİNGO!
EMPAE,OYAK YATIRIM,30.04.2026,38.72,3.05,20260512,0.0,1.76,⚪ KAPANDI
ZGYO,INFO YATIRIM MENKUL,30.04.2026,30.18,3.11,20260512,0.0,2.11,⚪ KAPANDI
BESTE,BANK-OF-AMERICA YATIRIM BANK,30.04.2026,27.16,5.34,20260512,0.0,7.67,🎯 BİNGO!
BESTE,DENIZ YATIRIM,30.04.2026,27.16,3.17,20260512,0.0,2.3,⚪ KAPANDI
BESTE,INFO YATIRIM MENKUL,30.04.2026,27.16,3.0,20260512,0.0,2.92,⚪ KAPANDI
NETCD,BANK-OF-AMERICA YATIRIM BANK,2026-05-05,138.7,3.7,20260512,0.0,0.48,⚪ KAPANDI
EMPAE,INFO YATIRIM MENKUL,2026-05-06,48.4,3.07,20260512,0.0,3.11,📈 TAKİPTE
MCARD,GEDIK YATIRIM,2026-05-06,183.8,3.03,20260512,0.0,2.89,⚪ KAPANDI
BESTE,A1 CAPITAL MENKUL DEGERLER,2026-05-06,30.06,3.66,20260512,0.0,3.11,📈 TAKİPTE
EMPAE,BANK-OF-AMERICA YATIRIM BANK,2026-05-08,51.65,5.86,20260512,0.0,11.78,🎯 BİNGO!
ZGYO,BANK-OF-AMERICA YATIRIM BANK,2026-05-08,33.4,3.74,20260512,0.0,1.95,⚪ KAPANDI
EMPAE,EMEKLILIK YATIRIM FONLARI,20260512,0.0,3.41,20260512,0.0,3.41,📈 TAKİPTE
