hisse,pp_fark,lot_fark,donem,yukleme
THYAO,1.96,,2026_01_01,2026-04-18 16:38
TUPRS,1.52,,2026_01_01,2026-04-18 16:38
SASA,-2.42,,2026_01_01,2026-04-18 16:38
ASELS,0.38,,2026_01_01,2026-04-18 16:38
SISE,0.52,,2026_01_01,2026-04-18 16:38
ISCTR,0.06,,2026_01_01,2026-04-18 16:38
HEKTS,-0.04,,2026_01_01,2026-04-18 16:38
EREGL,0.72,,2026_01_01,2026-04-18 16:38
PGSUS,3.36,,2026_01_01,2026-04-18 16:38
REEDR,0.2,,2026_01_01,2026-04-18 16:38
ALTNY,1.36,,2026_01_01,2026-04-18 16:38
KCHOL,2.11,,2026_01_01,2026-04-18 16:38
KONTR,-4.6,,2026_01_01,2026-04-18 16:38
FROTO,1.1,,2026_01_01,2026-04-18 16:38
ASTOR,1.99,,2026_01_01,2026-04-18 16:38
CWENE,0.58,,2026_01_01,2026-04-18 16:38
TABGD,0.74,392.244,2026_01_01,2026-04-18 16:38
PATEK,-1.34,,2026_01_01,2026-04-18 16:38
IZENR,-0.07,-705.258,2026_01_01,2026-04-18 16:38
ZOREN,0.13,,2026_01_01,2026-04-18 16:38
DOAS,1.83,,2026_01_01,2026-04-18 16:38
ENERY,0.45,,2026_01_01,2026-04-18 16:38
CANTE,-0.05,,2026_01_01,2026-04-18 16:38
OBAMS,0.15,,2026_01_01,2026-04-18 16:38
PETKM,0.05,647.883,2026_01_01,2026-04-18 16:38
ENJSA,0.38,899.4,2026_01_01,2026-04-18 16:38
AKBNK,0.07,,2026_01_01,2026-04-18 16:38
SAHOL,0.57,,2026_01_01,2026-04-18 16:38
TCELL,0.36,,2026_01_01,2026-04-18 16:38
KCAER,-0.81,,2026_01_01,2026-04-18 16:38
MIATK,-0.06,-186.227,2026_01_01,2026-04-18 16:38
EUPWR,1.07,,2026_01_01,2026-04-18 16:38
YKBNK,-0.49,,2026_01_01,2026-04-18 16:38
OYAKC,0.0,-228.208,2026_01_01,2026-04-18 16:38
BIMAS,0.92,,2026_01_01,2026-04-18 16:38
TTRAK,0.99,247.457,2026_01_01,2026-04-18 16:38
TOASO,1.73,,2026_01_01,2026-04-18 16:38
TUKAS,0.86,,2026_01_01,2026-04-18 16:38
GARAN,-0.27,,2026_01_01,2026-04-18 16:38
KRDMD,1.02,,2026_01_01,2026-04-18 16:38
ENKAI,0.47,,2026_01_01,2026-04-18 16:38
AEFES,1.24,,2026_01_01,2026-04-18 16:38
GSRAY,0.07,,2026_01_01,2026-04-18 16:38
MGROS,1.48,,2026_01_01,2026-04-18 16:38
ISMEN,0.83,,2026_01_01,2026-04-18 16:38
TSPOR,-0.11,,2026_01_01,2026-04-18 16:38
ODAS,1.24,,2026_01_01,2026-04-18 16:38
AKSA,0.06,809.914,2026_01_01,2026-04-18 16:38
ALARK,0.28,455.077,2026_01_01,2026-04-18 16:38
GESAN,1.46,,2026_01_01,2026-04-18 16:38
TRALT,0.0,-17.311,2026_01_01,2026-04-18 16:38
YEOTK,0.72,,2026_01_01,2026-04-18 16:38
MAVI,0.45,,2026_01_01,2026-04-18 16:38
ARCLK,1.37,,2026_01_01,2026-04-18 16:38
EKGYO,1.49,,2026_01_01,2026-04-18 16:38
FENER,-1.93,,2026_01_01,2026-04-18 16:38
TTKOM,0.51,,2026_01_01,2026-04-18 16:38
CIMSA,-0.89,,2026_01_01,2026-04-18 16:38
TAVHL,0.13,261.013,2026_01_01,2026-04-18 16:38
ULKER,0.98,,2026_01_01,2026-04-18 16:38
VESTL,0.14,417.011,2026_01_01,2026-04-18 16:38
CCOLA,0.15,,2026_01_01,2026-04-18 16:38
SKBNK,-0.13,,2026_01_01,2026-04-18 16:38
AKSEN,-0.38,,2026_01_01,2026-04-18 16:38
SOKM,-0.24,,2026_01_01,2026-04-18 16:38
GLRMK,0.41,160.31,2026_01_01,2026-04-18 16:38
DOHOL,1.21,,2026_01_01,2026-04-18 16:38
QUAGR,-3.34,,2026_01_01,2026-04-18 16:38
TURSG,0.24,,2026_01_01,2026-04-18 16:38
BRSAN,0.11,39.881,2026_01_01,2026-04-18 16:38
HALKB,-0.16,,2026_01_01,2026-04-18 16:38
TSKB,1.07,,2026_01_01,2026-04-18 16:38
GUBRF,0.4,347.57,2026_01_01,2026-04-18 16:38
KTLEV,1.37,,2026_01_01,2026-04-18 16:38
TUREX,0.88,,2026_01_01,2026-04-18 16:38
VAKBN,0.06,,2026_01_01,2026-04-18 16:38
PASEU,0.03,62.731,2026_01_01,2026-04-18 16:38
AGHOL,0.32,,2026_01_01,2026-04-18 16:38
EFOR,2.9,,2026_01_01,2026-04-18 16:38
BTCIM,-1.92,,2026_01_01,2026-04-18 16:38
ECILC,1.04,,2026_01_01,2026-04-18 16:38
TKFEN,0.21,484.688,2026_01_01,2026-04-18 16:38
ANSGR,-0.08,,2026_01_01,2026-04-18 16:38
BALSU,-1.39,,2026_01_01,2026-04-18 16:38
OTKAR,-0.29,-96.471,2026_01_01,2026-04-18 16:38
GRTHO,-3.75,,2026_01_01,2026-04-18 16:38
DAPGM,3.36,,2026_01_01,2026-04-18 16:38
MAGEN,0.9,,2026_01_01,2026-04-18 16:38
EGEEN,-0.19,-2.166,2026_01_01,2026-04-18 16:38
TRMET,-0.12,-206.54,2026_01_01,2026-04-18 16:38
BSOKE,1.12,,2026_01_01,2026-04-18 16:38
BRYAT,2.96,825.27,2026_01_01,2026-04-18 16:38
KUYAS,1.64,,2026_01_01,2026-04-18 16:38
MPARK,0.03,23.475,2026_01_01,2026-04-18 16:38
DSTKF,1.16,964.117,2026_01_01,2026-04-18 16:38
TRENJ,1.94,,2026_01_01,2026-04-18 16:38
GENIL,-0.49,-419.897,2026_01_01,2026-04-18 16:38
GRSEL,0.23,69.534,2026_01_01,2026-04-18 16:38
RALYH,-5.43,616.422,2026_01_01,2026-04-18 16:38
KLRHO,0.14,481.414,2026_01_01,2026-04-18 16:38
BMSCH,-1.52,,2026_01_01,2026-04-18 16:38
BMSTL,0.49,360.033,2026_01_01,2026-04-18 16:38
BNTAS,-0.08,-152.631,2026_01_01,2026-04-18 16:38
BOBET,2.46,,2026_01_01,2026-04-18 16:38
BORLS,-0.1,-289.769,2026_01_01,2026-04-18 16:38
BORSK,-0.68,,2026_01_01,2026-04-18 16:38
BOSSA,-0.05,-241.267,2026_01_01,2026-04-18 16:38
BRISA,0.35,110.48,2026_01_01,2026-04-18 16:38
BRKO,0.03,34.1,2026_01_01,2026-04-18 16:38
BRKSN,0.08,47.064,2026_01_01,2026-04-18 16:38
BRKVY,-2.07,-281.05,2026_01_01,2026-04-18 16:38
BRLSM,-0.17,-182.389,2026_01_01,2026-04-18 16:38
BRMEN,0.25,526.001,2026_01_01,2026-04-18 16:38
AHSGY,1.91,,2026_01_01,2026-04-18 16:38
ACSEL,-0.41,-34.878,2026_01_01,2026-04-18 16:38
AKCNS,-0.84,-330.035,2026_01_01,2026-04-18 16:38
AKENR,-0.2,-774.501,2026_01_01,2026-04-18 16:38
BUCIM,-0.13,,2026_01_01,2026-04-18 16:38
BULGS,0.52,372.547,2026_01_01,2026-04-18 16:38
BURCE,0.9,399.483,2026_01_01,2026-04-18 16:38
BURVA,0.61,28.666,2026_01_01,2026-04-18 16:38
BVSAN,0.52,71.096,2026_01_01,2026-04-18 16:38
BYDNR,-0.48,-86.975,2026_01_01,2026-04-18 16:38
AKFGY,0.63,,2026_01_01,2026-04-18 16:38
CASA,0.0,1.0,2026_01_01,2026-04-18 16:38
CATES,-0.25,-83.218,2026_01_01,2026-04-18 16:38
AKFIS,1.33,892.768,2026_01_01,2026-04-18 16:38
CELHA,-0.23,-327.662,2026_01_01,2026-04-18 16:38
CEMAS,-0.19,,2026_01_01,2026-04-18 16:38
CEMTS,0.01,38.897,2026_01_01,2026-04-18 16:38
CEMZY,0.28,347.144,2026_01_01,2026-04-18 16:38
CEOEM,1.33,296.958,2026_01_01,2026-04-18 16:38
CGCAM,-6.28,,2026_01_01,2026-04-18 16:38
AKFYE,0.11,621.609,2026_01_01,2026-04-18 16:38
CLEBI,0.28,15.023,2026_01_01,2026-04-18 16:38
CMBTN,0.03,366.0,2026_01_01,2026-04-18 16:38
CMENT,0.0,0.0,2026_01_01,2026-04-18 16:38
CONSE,1.05,,2026_01_01,2026-04-18 16:38
COSMO,0.0,-308.0,2026_01_01,2026-04-18 16:38
CRDFA,-0.27,-205.548,2026_01_01,2026-04-18 16:38
CRFSA,-0.7,-127.888,2026_01_01,2026-04-18 16:38
CUSAN,-0.13,-23.662,2026_01_01,2026-04-18 16:38
CVKMD,0.87,,2026_01_01,2026-04-18 16:38
AKGRT,-0.5,,2026_01_01,2026-04-18 16:38
TRHOL,0.44,76.937,2026_01_01,2026-04-18 16:38
DAGI,-1.13,,2026_01_01,2026-04-18 16:38
AKMGY,-0.09,-19.121,2026_01_01,2026-04-18 16:38
DARDL,-0.17,,2026_01_01,2026-04-18 16:38
DCTTR,-0.23,-364.553,2026_01_01,2026-04-18 16:38
DENGE,-0.24,,2026_01_01,2026-04-18 16:38
DERHL,0.82,,2026_01_01,2026-04-18 16:38
DERIM,0.57,230.435,2026_01_01,2026-04-18 16:38
DESA,0.01,22.73,2026_01_01,2026-04-18 16:38
DESPC,-0.8,-128.664,2026_01_01,2026-04-18 16:38
DEVA,-0.03,-63.018,2026_01_01,2026-04-18 16:38
DGATE,-0.75,-113.754,2026_01_01,2026-04-18 16:38
DGGYO,0.0,122.0,2026_01_01,2026-04-18 16:38
DGNMO,-0.06,-192.999,2026_01_01,2026-04-18 16:38
DIRIT,0.0,0.0,2026_01_01,2026-04-18 16:38
DITAS,-13.22,-618.477,2026_01_01,2026-04-18 16:38
DMRGD,-0.78,,2026_01_01,2026-04-18 16:38
DMSAS,-0.99,,2026_01_01,2026-04-18 16:38
DNISI,-0.16,-92.484,2026_01_01,2026-04-18 16:38
ADEL,0.25,281.834,2026_01_01,2026-04-18 16:38
DOCO,0.92,331.0,2026_01_01,2026-04-18 16:38
DOFER,-7.59,,2026_01_01,2026-04-18 16:38
DOFRB,-4.34,,2026_01_01,2026-04-18 16:38
DOGUB,0.03,6.957,2026_01_01,2026-04-18 16:38
ADESE,2.32,,2026_01_01,2026-04-18 16:38
DOKTA,-0.08,-113.379,2026_01_01,2026-04-18 16:38
AKSGY,0.14,,2026_01_01,2026-04-18 16:38
DUNYH,0.25,89.866,2026_01_01,2026-04-18 16:38
DURDO,-0.26,-993.435,2026_01_01,2026-04-18 16:38
DURKN,-0.71,-303.996,2026_01_01,2026-04-18 16:38
DYOBY,-0.02,-20.016,2026_01_01,2026-04-18 16:38
DZGYO,0.5,,2026_01_01,2026-04-18 16:38
EBEBK,-0.29,-120.871,2026_01_01,2026-04-18 16:38
AKSUE,-0.14,-75.178,2026_01_01,2026-04-18 16:38
ECOGR,7.62,,2026_01_01,2026-04-18 16:38
ECZYT,-0.27,-123.634,2026_01_01,2026-04-18 16:38
EDATA,5.37,,2026_01_01,2026-04-18 16:38
EDIP,0.5,181.602,2026_01_01,2026-04-18 16:38
AKYHO,-0.16,-356.366,2026_01_01,2026-04-18 16:38
ADGYO,-43.46,-85.059,2026_01_01,2026-04-18 16:38
EGEGY,0.76,461.252,2026_01_01,2026-04-18 16:38
EGEPO,0.21,412.702,2026_01_01,2026-04-18 16:38
EGGUB,-0.01,-6.313,2026_01_01,2026-04-18 16:38
EGPRO,-0.21,-377.539,2026_01_01,2026-04-18 16:38
EGSER,-0.11,-607.292,2026_01_01,2026-04-18 16:38
ALBRK,0.51,,2026_01_01,2026-04-18 16:38
EKIZ,0.0,0.0,2026_01_01,2026-04-18 16:38
EKOS,0.19,561.733,2026_01_01,2026-04-18 16:38
EKSUN,-0.21,-357.095,2026_01_01,2026-04-18 16:38
ELITE,-0.8,-355.174,2026_01_01,2026-04-18 16:38
EMKEL,-0.01,-12.491,2026_01_01,2026-04-18 16:38
EMNIS,0.0,0.0,2026_01_01,2026-04-18 16:38
ENDAE,0.66,794.316,2026_01_01,2026-04-18 16:38
ALCAR,0.06,914.0,2026_01_01,2026-04-18 16:38
ALCTL,-0.9,-121.964,2026_01_01,2026-04-18 16:38
ALFAS,0.05,38.555,2026_01_01,2026-04-18 16:38
ENSRI,0.4,942.53,2026_01_01,2026-04-18 16:38
ENTRA,-0.3,,2026_01_01,2026-04-18 16:38
EPLAS,0.2,386.183,2026_01_01,2026-04-18 16:38
ERBOS,0.37,57.821,2026_01_01,2026-04-18 16:38
ERCB,1.62,632.045,2026_01_01,2026-04-18 16:38
ALGYO,-0.95,,2026_01_01,2026-04-18 16:38
ERSU,0.07,20.805,2026_01_01,2026-04-18 16:38
ESCAR,-6.53,,2026_01_01,2026-04-18 16:38
ESCOM,-1.08,,2026_01_01,2026-04-18 16:38
ESEN,6.16,,2026_01_01,2026-04-18 16:38
ETILR,-0.52,-813.156,2026_01_01,2026-04-18 16:38
ETYAT,0.12,23.298,2026_01_01,2026-04-18 16:38
EUHOL,0.0,1.0,2026_01_01,2026-04-18 16:38
EUKYO,0.0,0.0,2026_01_01,2026-04-18 16:38
ALKA,-0.6,,2026_01_01,2026-04-18 16:38
EUREN,-3.24,,2026_01_01,2026-04-18 16:38
EUYO,0.06,12.877,2026_01_01,2026-04-18 16:38
EYGYO,1.13,,2026_01_01,2026-04-18 16:38
FADE,0.95,402.115,2026_01_01,2026-04-18 16:38
ALKIM,-0.26,-470.0,2026_01_01,2026-04-18 16:38
FLAP,0.15,146.598,2026_01_01,2026-04-18 16:38
FMIZP,-0.2,-7.016,2026_01_01,2026-04-18 16:38
FONET,1.96,,2026_01_01,2026-04-18 16:38
FORMT,-0.01,-94.508,2026_01_01,2026-04-18 16:38
FORTE,-1.75,-385.027,2026_01_01,2026-04-18 16:38
FRIGO,-1.59,,2026_01_01,2026-04-18 16:38
ALKLC,0.35,158.926,2026_01_01,2026-04-18 16:38
FZLGY,-1.1,,2026_01_01,2026-04-18 16:38
RUZYE,-0.18,-459.667,2026_01_01,2026-04-18 16:38
GARFA,0.0,9.471,2026_01_01,2026-04-18 16:38
GATEG,-0.04,-2.737,2026_01_01,2026-04-18 16:38
GEDIK,-0.06,-555.779,2026_01_01,2026-04-18 16:38
GEDZA,1.02,438.538,2026_01_01,2026-04-18 16:38
A1CAP,1.78,,2026_01_01,2026-04-18 16:38
GENTS,-0.16,,2026_01_01,2026-04-18 16:38
GEREL,0.14,293.812,2026_01_01,2026-04-18 16:38
ALVES,-0.11,-89.05,2026_01_01,2026-04-18 16:38
GIPTA,-1.02,-510.028,2026_01_01,2026-04-18 16:38
GLBMD,-0.07,-18.851,2026_01_01,2026-04-18 16:38
GLCVY,-1.6,-421.913,2026_01_01,2026-04-18 16:38
ANELE,-0.11,-164.622,2026_01_01,2026-04-18 16:38
GLRYH,-0.07,-434.975,2026_01_01,2026-04-18 16:38
GLYHO,0.27,,2026_01_01,2026-04-18 16:38
GMTAS,0.46,694.873,2026_01_01,2026-04-18 16:38
GOKNR,0.08,324.273,2026_01_01,2026-04-18 16:38
GOLTS,0.18,22.549,2026_01_01,2026-04-18 16:38
GOODY,-0.28,-367.825,2026_01_01,2026-04-18 16:38
GOZDE,-0.27,,2026_01_01,2026-04-18 16:38
GRNYO,0.0,3.0,2026_01_01,2026-04-18 16:38
ANGEN,0.11,93.643,2026_01_01,2026-04-18 16:38
ANHYT,1.8,,2026_01_01,2026-04-18 16:38
GSDDE,0.46,483.781,2026_01_01,2026-04-18 16:38
GSDHO,0.18,,2026_01_01,2026-04-18 16:38
AFYON,0.92,,2026_01_01,2026-04-18 16:38
ARASE,0.58,290.93,2026_01_01,2026-04-18 16:38
GUNDG,0.52,98.27,2026_01_01,2026-04-18 16:38
GWIND,1.11,,2026_01_01,2026-04-18 16:38
GZNMI,-3.47,,2026_01_01,2026-04-18 16:38
AGESA,-0.86,-309.119,2026_01_01,2026-04-18 16:38
HATEK,-0.14,-85.222,2026_01_01,2026-04-18 16:38
HATSN,0.37,165.262,2026_01_01,2026-04-18 16:38
HDFGS,-1.9,,2026_01_01,2026-04-18 16:38
HEDEF,0.07,416.933,2026_01_01,2026-04-18 16:38
ARDYZ,-25.38,,2026_01_01,2026-04-18 16:38
HKTM,-1.03,-748.456,2026_01_01,2026-04-18 16:38
HLGYO,1.27,,2026_01_01,2026-04-18 16:38
HOROZ,-1.54,-379.33,2026_01_01,2026-04-18 16:38
HRKET,0.4,95.802,2026_01_01,2026-04-18 16:38
HTTBT,-0.74,-605.977,2026_01_01,2026-04-18 16:38
HUBVC,0.5,,2026_01_01,2026-04-18 16:38
HUNER,0.55,,2026_01_01,2026-04-18 16:38
HURGZ,0.36,798.884,2026_01_01,2026-04-18 16:38
ICBCT,0.0,13.305,2026_01_01,2026-04-18 16:38
ICUGS,0.61,,2026_01_01,2026-04-18 16:38
IDGYO,0.41,493.42,2026_01_01,2026-04-18 16:38
IEYHO,-2.33,,2026_01_01,2026-04-18 16:38
IHAAS,-0.07,-41.074,2026_01_01,2026-04-18 16:38
IHEVA,0.15,439.934,2026_01_01,2026-04-18 16:38
IHGZT,0.4,,2026_01_01,2026-04-18 16:38
IHLAS,-0.42,,2026_01_01,2026-04-18 16:38
IHLGM,-0.52,,2026_01_01,2026-04-18 16:38
IHYAY,-0.6,,2026_01_01,2026-04-18 16:38
IMASM,0.74,,2026_01_01,2026-04-18 16:38
INDES,-1.24,,2026_01_01,2026-04-18 16:38
INFO,-0.26,,2026_01_01,2026-04-18 16:38
INGRM,0.09,13.599,2026_01_01,2026-04-18 16:38
INTEK,0.0,0.0,2026_01_01,2026-04-18 16:38
INTEM,0.27,25.24,2026_01_01,2026-04-18 16:38
INVEO,-0.02,-186.225,2026_01_01,2026-04-18 16:38
INVES,0.34,125.582,2026_01_01,2026-04-18 16:38
ARENA,-0.01,-4.022,2026_01_01,2026-04-18 16:38
ISATR,0.0,0.0,2026_01_01,2026-04-18 16:38
ISBIR,0.0,0.0,2026_01_01,2026-04-18 16:38
ISBTR,0.0,0.0,2026_01_01,2026-04-18 16:38
ARFYE,0.3,142.517,2026_01_01,2026-04-18 16:38
ISDMR,1.31,,2026_01_01,2026-04-18 16:38
ISFIN,0.16,474.888,2026_01_01,2026-04-18 16:38
ISGSY,0.55,257.512,2026_01_01,2026-04-18 16:38
ISGYO,0.05,241.706,2026_01_01,2026-04-18 16:38
ISKPL,-3.45,,2026_01_01,2026-04-18 16:38
ISKUR,0.0,0.0,2026_01_01,2026-04-18 16:38
ARMGD,2.38,,2026_01_01,2026-04-18 16:38
ISSEN,-0.55,-594.724,2026_01_01,2026-04-18 16:38
ISYAT,0.2,302.1,2026_01_01,2026-04-18 16:38
ARSAN,0.23,,2026_01_01,2026-04-18 16:38
IZFAS,-0.85,,2026_01_01,2026-04-18 16:38
IZINV,0.0,255.0,2026_01_01,2026-04-18 16:38
IZMDC,0.06,426.831,2026_01_01,2026-04-18 16:38
JANTS,-0.11,-231.796,2026_01_01,2026-04-18 16:38
KAPLM,0.81,36.729,2026_01_01,2026-04-18 16:38
KAREL,-0.23,-748.014,2026_01_01,2026-04-18 16:38
KARSN,-0.23,,2026_01_01,2026-04-18 16:38
KARTN,-0.03,-23.648,2026_01_01,2026-04-18 16:38
KATMR,0.51,,2026_01_01,2026-04-18 16:38
KAYSE,-0.49,,2026_01_01,2026-04-18 16:38
KBORU,1.06,,2026_01_01,2026-04-18 16:38
ARTMS,-2.0,-485.563,2026_01_01,2026-04-18 16:38
ARZUM,-0.16,-477.132,2026_01_01,2026-04-18 16:38
KENT,-0.04,-497.0,2026_01_01,2026-04-18 16:38
KERVN,0.0,1.0,2026_01_01,2026-04-18 16:38
KFEIN,1.97,,2026_01_01,2026-04-18 16:38
KGYO,-2.35,,2026_01_01,2026-04-18 16:38
KIMMR,-0.71,-537.829,2026_01_01,2026-04-18 16:38
KLGYO,-0.41,,2026_01_01,2026-04-18 16:38
KLKIM,0.68,942.145,2026_01_01,2026-04-18 16:38
KLMSN,-2.4,-741.846,2026_01_01,2026-04-18 16:38
KLNMA,0.0,16.0,2026_01_01,2026-04-18 16:38
A1YEN,-0.13,-51.812,2026_01_01,2026-04-18 16:38
KLSER,0.13,142.901,2026_01_01,2026-04-18 16:38
KLSYN,0.77,828.237,2026_01_01,2026-04-18 16:38
KLYPV,0.96,440.608,2026_01_01,2026-04-18 16:38
KMPUR,-0.92,,2026_01_01,2026-04-18 16:38
KNFRT,0.05,71.227,2026_01_01,2026-04-18 16:38
KOCMT,-2.07,,2026_01_01,2026-04-18 16:38
KONKA,0.24,214.444,2026_01_01,2026-04-18 16:38
ASGYO,-0.12,-197.755,2026_01_01,2026-04-18 16:38
KONYA,-0.02,-466.0,2026_01_01,2026-04-18 16:38
KOPOL,0.93,,2026_01_01,2026-04-18 16:38
KORDS,-0.17,-107.67,2026_01_01,2026-04-18 16:38
KOTON,0.18,239.371,2026_01_01,2026-04-18 16:38
AGROT,0.07,,2026_01_01,2026-04-18 16:38
ASUZU,1.31,538.876,2026_01_01,2026-04-18 16:38
KRDMA,-0.42,,2026_01_01,2026-04-18 16:38
KRDMB,0.88,,2026_01_01,2026-04-18 16:38
ATAGY,0.49,224.532,2026_01_01,2026-04-18 16:38
KRGYO,-0.36,,2026_01_01,2026-04-18 16:38
KRONT,-1.33,,2026_01_01,2026-04-18 16:38
KRPLS,0.27,207.304,2026_01_01,2026-04-18 16:38
KRSTL,-0.65,,2026_01_01,2026-04-18 16:38
KRTEK,0.09,19.834,2026_01_01,2026-04-18 16:38
KRVGD,-0.86,,2026_01_01,2026-04-18 16:38
KSTUR,0.0,-19.0,2026_01_01,2026-04-18 16:38
ATAKP,-0.19,-52.857,2026_01_01,2026-04-18 16:38
KTSKR,0.36,53.174,2026_01_01,2026-04-18 16:38
KUTPO,0.33,35.148,2026_01_01,2026-04-18 16:38
KUVVA,-0.1,-24.334,2026_01_01,2026-04-18 16:38
ATATP,-1.2,-225.27,2026_01_01,2026-04-18 16:38
KZBGY,0.37,,2026_01_01,2026-04-18 16:38
KZGYO,-0.04,-17.119,2026_01_01,2026-04-18 16:38
LIDER,0.33,921.605,2026_01_01,2026-04-18 16:38
LIDFA,-0.02,-40.541,2026_01_01,2026-04-18 16:38
LILAK,0.46,,2026_01_01,2026-04-18 16:38
LINK,0.17,30.467,2026_01_01,2026-04-18 16:38
LKMNH,-0.18,-282.795,2026_01_01,2026-04-18 16:38
LMKDC,-0.08,-135.634,2026_01_01,2026-04-18 16:38
LOGO,-0.4,-297.801,2026_01_01,2026-04-18 16:38
LRSHO,-0.06,-412.632,2026_01_01,2026-04-18 16:38
LUKSK,-0.51,-137.881,2026_01_01,2026-04-18 16:38
LYDHO,-0.01,-5.367,2026_01_01,2026-04-18 16:38
LYDYE,0.06,861.0,2026_01_01,2026-04-18 16:38
MAALT,-0.21,-9.892,2026_01_01,2026-04-18 16:38
MACKO,-5.21,,2026_01_01,2026-04-18 16:38
ATEKS,0.0,0.0,2026_01_01,2026-04-18 16:38
MAKIM,-2.41,,2026_01_01,2026-04-18 16:38
MAKTK,0.69,,2026_01_01,2026-04-18 16:38
MANAS,-0.71,-899.803,2026_01_01,2026-04-18 16:38
MARBL,-0.04,-30.746,2026_01_01,2026-04-18 16:38
MARKA,2.05,430.83,2026_01_01,2026-04-18 16:38
MARMR,-0.79,,2026_01_01,2026-04-18 16:38
MARTI,-1.24,,2026_01_01,2026-04-18 16:38
ATLAS,0.07,43.312,2026_01_01,2026-04-18 16:38
MEDTR,0.89,219.369,2026_01_01,2026-04-18 16:38
MEGAP,0.0,-37.0,2026_01_01,2026-04-18 16:38
MEGMT,1.43,,2026_01_01,2026-04-18 16:38
MEKAG,-1.22,,2026_01_01,2026-04-18 16:38
MEPET,0.03,24.203,2026_01_01,2026-04-18 16:38
MERCN,0.99,737.983,2026_01_01,2026-04-18 16:38
MERIT,0.21,702.26,2026_01_01,2026-04-18 16:38
MERKO,0.83,835.457,2026_01_01,2026-04-18 16:38
METRO,-0.19,,2026_01_01,2026-04-18 16:38
ATSYH,0.0,0.0,2026_01_01,2026-04-18 16:38
MHRGY,0.48,,2026_01_01,2026-04-18 16:38
AVGYO,-0.08,-97.17,2026_01_01,2026-04-18 16:38
MMCAS,-0.01,1.0,2026_01_01,2026-04-18 16:38
MNDRS,0.02,38.193,2026_01_01,2026-04-18 16:38
MNDTR,-0.01,-116.718,2026_01_01,2026-04-18 16:38
MOBTL,-0.87,,2026_01_01,2026-04-18 16:38
MOGAN,0.17,445.951,2026_01_01,2026-04-18 16:38
MOPAS,-0.56,-322.602,2026_01_01,2026-04-18 16:38
AVHOL,0.84,216.974,2026_01_01,2026-04-18 16:38
MRGYO,0.05,552.52,2026_01_01,2026-04-18 16:38
MRSHL,-0.26,-10.833,2026_01_01,2026-04-18 16:38
MSGYO,-0.15,-251.641,2026_01_01,2026-04-18 16:38
MTRKS,1.19,519.792,2026_01_01,2026-04-18 16:38
MTRYO,6.02,,2026_01_01,2026-04-18 16:38
MZHLD,-0.12,-81.306,2026_01_01,2026-04-18 16:38
NATEN,0.73,,2026_01_01,2026-04-18 16:38
NETAS,0.22,69.166,2026_01_01,2026-04-18 16:38
NIBAS,-0.48,,2026_01_01,2026-04-18 16:38
NTGAZ,-1.04,,2026_01_01,2026-04-18 16:38
NTHOL,-0.02,-106.761,2026_01_01,2026-04-18 16:38
NUGYO,0.41,,2026_01_01,2026-04-18 16:38
NUHCM,0.01,484.0,2026_01_01,2026-04-18 16:38
AVOD,-0.4,,2026_01_01,2026-04-18 16:38
OBASE,-0.56,-84.358,2026_01_01,2026-04-18 16:38
AVPGY,-0.08,-72.968,2026_01_01,2026-04-18 16:38
ODINE,4.64,,2026_01_01,2026-04-18 16:38
OFSYM,-1.67,-379.179,2026_01_01,2026-04-18 16:38
ONCSM,0.78,78.614,2026_01_01,2026-04-18 16:38
ONRYT,1.83,359.874,2026_01_01,2026-04-18 16:38
ORCAY,0.49,730.805,2026_01_01,2026-04-18 16:38
ORGE,-1.99,-832.974,2026_01_01,2026-04-18 16:38
ORMA,0.0,0.0,2026_01_01,2026-04-18 16:38
OSMEN,0.21,323.113,2026_01_01,2026-04-18 16:38
OSTIM,-0.14,-671.599,2026_01_01,2026-04-18 16:38
AVTUR,0.98,420.25,2026_01_01,2026-04-18 16:38
OTTO,0.88,35.459,2026_01_01,2026-04-18 16:38
AYCES,0.55,10.428,2026_01_01,2026-04-18 16:38
OYAYO,-0.04,-6.536,2026_01_01,2026-04-18 16:38
OYLUM,0.59,472.161,2026_01_01,2026-04-18 16:38
OYYAT,-0.26,-235.801,2026_01_01,2026-04-18 16:38
OZATD,0.6,79.284,2026_01_01,2026-04-18 16:38
OZGYO,0.04,170.092,2026_01_01,2026-04-18 16:38
OZKGY,-1.76,,2026_01_01,2026-04-18 16:38
OZRDN,-0.15,-80.478,2026_01_01,2026-04-18 16:38
OZSUB,-0.49,-202.295,2026_01_01,2026-04-18 16:38
OZYSR,-0.37,-147.81,2026_01_01,2026-04-18 16:38
PAGYO,-0.04,-18.76,2026_01_01,2026-04-18 16:38
PAHOL,-1.54,,2026_01_01,2026-04-18 16:38
PAMEL,0.04,9.336,2026_01_01,2026-04-18 16:38
PAPIL,-0.28,-581.545,2026_01_01,2026-04-18 16:38
PARSN,-0.03,-10.006,2026_01_01,2026-04-18 16:38
AYDEM,-0.66,-853.944,2026_01_01,2026-04-18 16:38
AYEN,0.3,167.482,2026_01_01,2026-04-18 16:38
PCILT,-0.1,-45.169,2026_01_01,2026-04-18 16:38
TEHOL,-5.94,,2026_01_01,2026-04-18 16:38
PEKGY,0.14,,2026_01_01,2026-04-18 16:38
PENGD,0.22,369.13,2026_01_01,2026-04-18 16:38
PENTA,0.09,152.333,2026_01_01,2026-04-18 16:38
