hisse,yab_fark,tks2,donem,yukleme
PSGYO,1101941,2954231557,2026_01_01,2026-04-18 16:38
LRSHO,1088115,724120946,2026_01_01,2026-04-18 16:38
BOBET,1060321,113999998,2026_01_01,2026-04-18 16:38
AZTEK,1060099,279000000,2026_01_01,2026-04-18 16:38
TRENJ,1047510,98018735,2026_01_01,2026-04-18 16:38
ENTRA,1042257,369416642,2026_01_01,2026-04-18 16:38
ICUGS,1014171,336250000,2026_01_01,2026-04-18 16:38
DARDL,971266,1753442695,2026_01_01,2026-04-18 16:38
YEOTK,970691,160933198,2026_01_01,2026-04-18 16:38
GWIND,966060,179165491,2026_01_01,2026-04-18 16:38
TKFEN,955558,230848007,2026_01_01,2026-04-18 16:38
NATEN,954969,309375000,2026_01_01,2026-04-18 16:38
GESAN,935188,141759180,2026_01_01,2026-04-18 16:38
GEDIK,920666,983076856,2026_01_01,2026-04-18 16:38
GMTAS,915878,148547413,2026_01_01,2026-04-18 16:38
DERHL,873375,197281316,2026_01_01,2026-04-18 16:38
FZLGY,848942,398427644,2026_01_01,2026-04-18 16:38
TOASO,795255,120585076,2026_01_01,2026-04-18 16:38
VRGYO,789504,597693904,2026_01_01,2026-04-18 16:38
IMASM,729115,622850500,2026_01_01,2026-04-18 16:38
ENDAE,713926,120211591,2026_01_01,2026-04-18 16:38
PENGD,706374,171068945,2026_01_01,2026-04-18 16:38
LIDER,703119,279500000,2026_01_01,2026-04-18 16:38
MERCN,686144,74389005,2026_01_01,2026-04-18 16:38
KRDMB,665916,118762111,2026_01_01,2026-04-18 16:38
ISMEN,664203,467723147,2026_01_01,2026-04-18 16:38
TATGD,656543,119284669,2026_01_01,2026-04-18 16:38
AKFIS,653096,66841328,2026_01_01,2026-04-18 16:38
OSTIM,649036,509670729,2026_01_01,2026-04-18 16:38
OZKGY,641795,363999945,2026_01_01,2026-04-18 16:38
DOAS,620020,97899975,2026_01_01,2026-04-18 16:38
PRDGS,601796,110850000,2026_01_01,2026-04-18 16:38
HEDEF,595146,562499930,2026_01_01,2026-04-18 16:38
FONET,562978,577082984,2026_01_01,2026-04-18 16:38
EGEGY,552941,61200000,2026_01_01,2026-04-18 16:38
EYGYO,542331,341859667,2026_01_01,2026-04-18 16:38
ZERGY,537560,156799985,2026_01_01,2026-04-18 16:38
SISE,528676,1814922730,2026_01_01,2026-04-18 16:38
ZRGYO,498747,1173404997,2026_01_01,2026-04-18 16:38
ENSRI,478989,236333503,2026_01_01,2026-04-18 16:38
AKFYE,456170,551782160,2026_01_01,2026-04-18 16:38
KMPUR,433454,132432524,2026_01_01,2026-04-18 16:38
CEMAS,422819,790994290,2026_01_01,2026-04-18 16:38
MERKO,419468,101104701,2026_01_01,2026-04-18 16:38
CEMTS,411632,233425986,2026_01_01,2026-04-18 16:38
KRONT,405027,116892885,2026_01_01,2026-04-18 16:38
KLSYN,396655,107854952,2026_01_01,2026-04-18 16:38
BURCE,396179,44422390,2026_01_01,2026-04-18 16:38
TERA,386414,240888789,2026_01_01,2026-04-18 16:38
KLKIM,383788,138383655,2026_01_01,2026-04-18 16:38
DGNMO,380902,327634636,2026_01_01,2026-04-18 16:38
ERCB,379765,39113273,2026_01_01,2026-04-18 16:38
IZMDC,379005,723225318,2026_01_01,2026-04-18 16:38
DURKN,372152,42500000,2026_01_01,2026-04-18 16:38
KLYPV,357700,46334639,2026_01_01,2026-04-18 16:38
KOTON,352853,136599960,2026_01_01,2026-04-18 16:38
ECILC,351326,210589603,2026_01_01,2026-04-18 16:38
AHGAZ,350792,659370871,2026_01_01,2026-04-18 16:38
SOKE,348636,126999996,2026_01_01,2026-04-18 16:38
FORTE,342058,21999999,2026_01_01,2026-04-18 16:38
MERIT,334803,329683116,2026_01_01,2026-04-18 16:38
KCAER,332246,496494775,2026_01_01,2026-04-18 16:38
POLHO,320445,164140074,2026_01_01,2026-04-18 16:38
NTHOL,318269,485479122,2026_01_01,2026-04-18 16:38
AGESA,312051,35829553,2026_01_01,2026-04-18 16:38
VAKBN,311276,8046896130,2026_01_01,2026-04-18 16:38
EMKEL,308768,149999456,2026_01_01,2026-04-18 16:38
MTRKS,296291,43633166,2026_01_01,2026-04-18 16:38
GOZDE,294293,384992447,2026_01_01,2026-04-18 16:38
BRSAN,275381,35912460,2026_01_01,2026-04-18 16:38
GEDZA,273596,42983624,2026_01_01,2026-04-18 16:38
BARMA,271438,68130939,2026_01_01,2026-04-18 16:38
MAKTK,250035,184370066,2026_01_01,2026-04-18 16:38
KZBGY,247382,587999984,2026_01_01,2026-04-18 16:38
DURDO,241943,379703149,2026_01_01,2026-04-18 16:38
SKTAS,240899,332865443,2026_01_01,2026-04-18 16:38
ANHYT,224051,88457041,2026_01_01,2026-04-18 16:38
HURGZ,223909,220784167,2026_01_01,2026-04-18 16:38
DGATE,216996,15227271,2026_01_01,2026-04-18 16:38
MARKA,200974,20752018,2026_01_01,2026-04-18 16:38
TABGD,192420,52499906,2026_01_01,2026-04-18 16:38
SDTTR,192125,15990000,2026_01_01,2026-04-18 16:38
BINBN,191467,17000000,2026_01_01,2026-04-18 16:38
DENGE,188902,525284797,2026_01_01,2026-04-18 16:38
ALGYO,186269,141336768,2026_01_01,2026-04-18 16:38
GLCVY,184571,26400000,2026_01_01,2026-04-18 16:38
RALYH,184261,176370973,2026_01_01,2026-04-18 16:38
YIGIT,184242,74999975,2026_01_01,2026-04-18 16:38
GSDDE,180611,106850751,2026_01_01,2026-04-18 16:38
ARDYZ,177835,279551557,2026_01_01,2026-04-18 16:38
GUBRF,171662,85359737,2026_01_01,2026-04-18 16:38
MSGYO,168065,168650149,2026_01_01,2026-04-18 16:38
ONRYT,165013,19730000,2026_01_01,2026-04-18 16:38
TMSN,158254,44449988,2026_01_01,2026-04-18 16:38
MPARK,155356,80869110,2026_01_01,2026-04-18 16:38
ASUZU,152336,41130807,2026_01_01,2026-04-18 16:38
FADE,150927,42347498,2026_01_01,2026-04-18 16:38
DERIM,142272,40403770,2026_01_01,2026-04-18 16:38
SAYAS,141896,42530887,2026_01_01,2026-04-18 16:38
EKSUN,140914,171792833,2026_01_01,2026-04-18 16:38
HATSN,139451,44299973,2026_01_01,2026-04-18 16:38
KATMR,139386,1980989998,2026_01_01,2026-04-18 16:38
HRKET,134010,24000000,2026_01_01,2026-04-18 16:38
VAKKO,128248,30789786,2026_01_01,2026-04-18 16:38
EKOS,127339,307199852,2026_01_01,2026-04-18 16:38
LYDHO,124754,44188590,2026_01_01,2026-04-18 16:38
ALTNY,124664,399889404,2026_01_01,2026-04-18 16:38
CEOEM,121966,22289984,2026_01_01,2026-04-18 16:38
BAYRK,119324,189751123,2026_01_01,2026-04-18 16:38
VESBE,117104,503578676,2026_01_01,2026-04-18 16:38
ARASE,115949,49999991,2026_01_01,2026-04-18 16:38
AYEN,115397,55531320,2026_01_01,2026-04-18 16:38
BUCIM,109722,1286538062,2026_01_01,2026-04-18 16:38
GSDHO,107183,999994969,2026_01_01,2026-04-18 16:38
BAKAB,104854,34985326,2026_01_01,2026-04-18 16:38
AVPGY,101887,100000000,2026_01_01,2026-04-18 16:38
KRDMA,94212,240300918,2026_01_01,2026-04-18 16:38
ARMGD,90558,54996000,2026_01_01,2026-04-18 16:38
AYDEM,81957,130000000,2026_01_01,2026-04-18 16:38
KLSER,80394,109457175,2026_01_01,2026-04-18 16:38
ADEL,79323,112043619,2026_01_01,2026-04-18 16:38
ISGSY,77077,47378729,2026_01_01,2026-04-18 16:38
SEGMN,76976,80999980,2026_01_01,2026-04-18 16:38
EGGUB,76591,75862114,2026_01_01,2026-04-18 16:38
KOPOL,71207,266319652,2026_01_01,2026-04-18 16:38
DOKTA,70739,145872862,2026_01_01,2026-04-18 16:38
IHAAS,67820,56031248,2026_01_01,2026-04-18 16:38
TLMAN,66405,10300000,2026_01_01,2026-04-18 16:38
AYGAZ,63209,98568807,2026_01_01,2026-04-18 16:38
YGGYO,56119,240625741,2026_01_01,2026-04-18 16:38
PKART,55729,11048497,2026_01_01,2026-04-18 16:38
VESTL,55572,295447203,2026_01_01,2026-04-18 16:38
GZNMI,54894,40949825,2026_01_01,2026-04-18 16:38
ODINE,53945,52576848,2026_01_01,2026-04-18 16:38
GOKNR,51512,178040711,2026_01_01,2026-04-18 16:38
SANKO,50821,37499197,2026_01_01,2026-04-18 16:38
YAYLA,49757,39874966,2026_01_01,2026-04-18 16:38
VAKFA,47593,224999402,2026_01_01,2026-04-18 16:38
SUNTK,47534,145280000,2026_01_01,2026-04-18 16:38
ORGE,44229,41839996,2026_01_01,2026-04-18 16:38
BIGTK,43527,9142465,2026_01_01,2026-04-18 16:38
BIGEN,43131,115500000,2026_01_01,2026-04-18 16:38
BRLSM,38232,108025075,2026_01_01,2026-04-18 16:38
KRTEK,38202,18914650,2026_01_01,2026-04-18 16:38
KRPLS,38040,78486163,2026_01_01,2026-04-18 16:38
TTRAK,35081,24967458,2026_01_01,2026-04-18 16:38
DNISI,35065,59171727,2026_01_01,2026-04-18 16:38
CATES,32625,33050000,2026_01_01,2026-04-18 16:38
BIENY,32000,83069831,2026_01_01,2026-04-18 16:38
VBTYZ,31906,55935000,2026_01_01,2026-04-18 16:38
VERUS,31672,34499937,2026_01_01,2026-04-18 16:38
OSMEN,31110,157750927,2026_01_01,2026-04-18 16:38
MARBL,31012,65026403,2026_01_01,2026-04-18 16:38
KZGYO,30044,49999985,2026_01_01,2026-04-18 16:38
ASGYO,28617,165000000,2026_01_01,2026-04-18 16:38
EGPRO,28490,175170570,2026_01_01,2026-04-18 16:38
NUHCM,27989,33135899,2026_01_01,2026-04-18 16:38
YYLGD,27186,369826200,2026_01_01,2026-04-18 16:38
YATAS,27011,94866488,2026_01_01,2026-04-18 16:38
ERBOS,26311,15899843,2026_01_01,2026-04-18 16:38
AVHOL,25967,26047279,2026_01_01,2026-04-18 16:38
ULUSE,25919,24000000,2026_01_01,2026-04-18 16:38
DYOBY,24364,186553687,2026_01_01,2026-04-18 16:38
BRKVY,23977,13618361,2026_01_01,2026-04-18 16:38
GARFA,23114,138399778,2026_01_01,2026-04-18 16:38
LINK,22701,18231985,2026_01_01,2026-04-18 16:38
OTKAR,19958,33417185,2026_01_01,2026-04-18 16:38
TGSAS,19891,12348294,2026_01_01,2026-04-18 16:38
BRKSN,19406,62639942,2026_01_01,2026-04-18 16:38
LKMNH,19011,163262533,2026_01_01,2026-04-18 16:38
BFREN,17621,24586148,2026_01_01,2026-04-18 16:38
VERTU,17161,22000000,2026_01_01,2026-04-18 16:38
PENTA,14431,181070136,2026_01_01,2026-04-18 16:38
VSNMD,14338,24000000,2026_01_01,2026-04-18 16:38
PAMEL,14110,21533681,2026_01_01,2026-04-18 16:38
ALKA,12546,330750000,2026_01_01,2026-04-18 16:38
CLEBI,10752,5490178,2026_01_01,2026-04-18 16:38
PLTUR,10626,49500000,2026_01_01,2026-04-18 16:38
ARTMS,10378,24199999,2026_01_01,2026-04-18 16:38
UFUK,9550,46845974,2026_01_01,2026-04-18 16:38
KUTPO,9318,10524430,2026_01_01,2026-04-18 16:38
DESPC,8988,16023700,2026_01_01,2026-04-18 16:38
BESLR,8768,658098036,2026_01_01,2026-04-18 16:38
NUGYO,8538,324943976,2026_01_01,2026-04-18 16:38
BOSSA,8521,508724189,2026_01_01,2026-04-18 16:38
DUNYH,8372,36443197,2026_01_01,2026-04-18 16:38
FMIZP,7559,3497751,2026_01_01,2026-04-18 16:38
INGRM,7536,14969536,2026_01_01,2026-04-18 16:38
MEDTR,6853,24499999,2026_01_01,2026-04-18 16:38
HOROZ,5619,24599986,2026_01_01,2026-04-18 16:38
OTTO,5060,4024438,2026_01_01,2026-04-18 16:38
ICBCT,4808,216761845,2026_01_01,2026-04-18 16:38
INTEM,4569,9428747,2026_01_01,2026-04-18 16:38
TURGG,4245,32042988,2026_01_01,2026-04-18 16:38
SEKFK,3708,62311473,2026_01_01,2026-04-18 16:38
ALCAR,3671,1721735,2026_01_01,2026-04-18 16:38
BMSTL,3532,74772260,2026_01_01,2026-04-18 16:38
DESA,2268,171107590,2026_01_01,2026-04-18 16:38
PKENT,2107,23766169,2026_01_01,2026-04-18 16:38
ALFAS,2037,84639999,2026_01_01,2026-04-18 16:38
OFSYM,1717,22749998,2026_01_01,2026-04-18 16:38
LYDYE,1523,1391287,2026_01_01,2026-04-18 16:38
MAALT,1205,4763850,2026_01_01,2026-04-18 16:38
GOLTS,1189,12422783,2026_01_01,2026-04-18 16:38
BVSAN,987,13749999,2026_01_01,2026-04-18 16:38
GIPTA,770,51646922,2026_01_01,2026-04-18 16:38
KAPLM,724,4563071,2026_01_01,2026-04-18 16:38
AVOD,558,253604577,2026_01_01,2026-04-18 16:38
AYCES,313,1895369,2026_01_01,2026-04-18 16:38
EGEEN,285,1137161,2026_01_01,2026-04-18 16:38
POLTK,201,1125000,2026_01_01,2026-04-18 16:38
