hisse,yab_fark,tks2,donem,yukleme
VBTYZ,-68517,55935000,2026_01_02,2026-04-18 16:39
AKCNS,-69427,39359284,2026_01_02,2026-04-18 16:39
ARDYZ,-71641,279551557,2026_01_02,2026-04-18 16:39
ONCSM,-71917,10086000,2026_01_02,2026-04-18 16:39
ERCB,-75572,39113273,2026_01_02,2026-04-18 16:39
HOROZ,-76402,24599986,2026_01_02,2026-04-18 16:39
OSMEN,-79236,157750927,2026_01_02,2026-04-18 16:39
ECZYT,-80259,45880511,2026_01_02,2026-04-18 16:39
DOFER,-81610,19572500,2026_01_02,2026-04-18 16:39
EYGYO,-81715,341859667,2026_01_02,2026-04-18 16:39
RALYH,-87054,176370973,2026_01_02,2026-04-18 16:39
SMRTG,-87506,221421277,2026_01_02,2026-04-18 16:39
HATSN,-92794,44299973,2026_01_02,2026-04-18 16:39
ONRYT,-95794,19730000,2026_01_02,2026-04-18 16:39
DMSAS,-96676,199994510,2026_01_02,2026-04-18 16:39
RNPOL,-99559,16795000,2026_01_02,2026-04-18 16:39
SELEC,-99855,124262097,2026_01_02,2026-04-18 16:39
OFSYM,-101607,22749998,2026_01_02,2026-04-18 16:39
LILAK,-109135,260252730,2026_01_02,2026-04-18 16:39
PSGYO,-113575,2954231557,2026_01_02,2026-04-18 16:39
MSGYO,-118201,169650150,2026_01_02,2026-04-18 16:39
DENGE,-118674,525284797,2026_01_02,2026-04-18 16:39
KUYAS,-127018,398927997,2026_01_02,2026-04-18 16:39
DESPC,-130128,16023700,2026_01_02,2026-04-18 16:39
KOCMT,-131811,587485693,2026_01_02,2026-04-18 16:39
KZGYO,-133633,49999985,2026_01_02,2026-04-18 16:39
BUCIM,-138273,1286538062,2026_01_02,2026-04-18 16:39
HKTM,-151057,72750000,2026_01_02,2026-04-18 16:39
AVGYO,-152539,111590302,2026_01_02,2026-04-18 16:39
ALTNY,-164746,399889404,2026_01_02,2026-04-18 16:39
SAYAS,-168727,42530887,2026_01_02,2026-04-18 16:39
TMSN,-169317,44449988,2026_01_02,2026-04-18 16:39
TNZTP,-178228,87496826,2026_01_02,2026-04-18 16:39
POLHO,-184191,164140074,2026_01_02,2026-04-18 16:39
DAGI,-203527,175301274,2026_01_02,2026-04-18 16:39
ESCOM,-204624,463831670,2026_01_02,2026-04-18 16:39
IZFAS,-208886,156001658,2026_01_02,2026-04-18 16:39
MAKTK,-209154,184370066,2026_01_02,2026-04-18 16:39
YUNSA,-212701,202164056,2026_01_02,2026-04-18 16:39
MARBL,-215888,65226403,2026_01_02,2026-04-18 16:39
ISSEN,-220133,107411517,2026_01_02,2026-04-18 16:39
TEZOL,-233764,139999975,2026_01_02,2026-04-18 16:39
ECOGR,-239429,110000000,2026_01_02,2026-04-18 16:39
OZKGY,-258326,363999945,2026_01_02,2026-04-18 16:39
BIZIM,-281459,27601626,2026_01_02,2026-04-18 16:39
RUBNS,-290927,42377765,2026_01_02,2026-04-18 16:39
TEKTU,-297039,195639311,2026_01_02,2026-04-18 16:39
NATEN,-306790,309375000,2026_01_02,2026-04-18 16:39
RGYAS,-309274,105523000,2026_01_02,2026-04-18 16:39
MERCN,-336866,74389005,2026_01_02,2026-04-18 16:39
UNLU,-338074,102181558,2026_01_02,2026-04-18 16:39
EGSER,-339056,545751057,2026_01_02,2026-04-18 16:39
TUCLK,-350770,230681400,2026_01_02,2026-04-18 16:39
IZENR,-380780,914537597,2026_01_02,2026-04-18 16:39
GMTAS,-390728,148547413,2026_01_02,2026-04-18 16:39
MACKO,-408688,41500000,2026_01_02,2026-04-18 16:39
BJKAS,-437030,1776089716,2026_01_02,2026-04-18 16:39
HTTBT,-437856,82805422,2026_01_02,2026-04-18 16:39
AKSA,-446559,1503670642,2026_01_02,2026-04-18 16:39
MEDTR,-452142,24499999,2026_01_02,2026-04-18 16:39
AVOD,-485257,253604577,2026_01_02,2026-04-18 16:39
MERKO,-490355,101104701,2026_01_02,2026-04-18 16:39
PATEK,-493536,293081893,2026_01_02,2026-04-18 16:39
INVEO,-500126,998999954,2026_01_02,2026-04-18 16:39
YIGIT,-507590,74999975,2026_01_02,2026-04-18 16:39
BRLSM,-524800,108025075,2026_01_02,2026-04-18 16:39
ADGYO,-526165,379654367,2026_01_02,2026-04-18 16:39
INDES,-552274,462749768,2026_01_02,2026-04-18 16:39
EFOR,-574940,539999994,2026_01_02,2026-04-18 16:39
ISGYO,-579951,531312439,2026_01_02,2026-04-18 16:39
MNDRS,-583542,222007982,2026_01_02,2026-04-18 16:39
KARSN,-583711,827800973,2026_01_02,2026-04-18 16:39
GLRYH,-612747,599623814,2026_01_02,2026-04-18 16:39
TRILC,-616898,118499496,2026_01_02,2026-04-18 16:39
SNICA,-648401,321688856,2026_01_02,2026-04-18 16:39
GENIL,-706217,85937999,2026_01_02,2026-04-18 16:39
KRSTL,-710281,183664642,2026_01_02,2026-04-18 16:39
AHSGY,-743851,184999889,2026_01_02,2026-04-18 16:39
PGSUS,-798154,245068870,2026_01_02,2026-04-18 16:39
DURDO,-885882,379703149,2026_01_02,2026-04-18 16:39
MHRGY,-890450,310499991,2026_01_02,2026-04-18 16:39
GOZDE,-922532,384992447,2026_01_02,2026-04-18 16:39
ARSAN,-947532,887344274,2026_01_02,2026-04-18 16:39
KAYSE,-972512,814062609,2026_01_02,2026-04-18 16:39
MARMR,-1002509,961218727,2026_01_02,2026-04-18 16:39
KBORU,-1013513,143999994,2026_01_02,2026-04-18 16:39
FZLGY,-1014045,398427644,2026_01_02,2026-04-18 16:39
ULUUN,-1046542,290523352,2026_01_02,2026-04-18 16:39
TRGYO,-1073002,251573369,2026_01_02,2026-04-18 16:39
VKGYO,-1125150,1637203243,2026_01_02,2026-04-18 16:39
DAPGM,-1154528,928276145,2026_01_02,2026-04-18 16:39
GOKNR,-1324126,178040711,2026_01_02,2026-04-18 16:39
GARAN,-1326949,2454842798,2026_01_02,2026-04-18 16:39
BIMAS,-1328958,436214016,2026_01_02,2026-04-18 16:39
PASEU,-1343631,215296000,2026_01_02,2026-04-18 16:39
IEYHO,-1402843,541033008,2026_01_02,2026-04-18 16:39
ANELE,-1403757,151405542,2026_01_02,2026-04-18 16:39
ICUGS,-1408291,336250000,2026_01_02,2026-04-18 16:39
OBAMS,-1457386,751078524,2026_01_02,2026-04-18 16:39
PENGD,-1532942,171068945,2026_01_02,2026-04-18 16:39
BINHO,-1633722,488884390,2026_01_02,2026-04-18 16:39
KONTR,-1770613,936041131,2026_01_02,2026-04-18 16:39
SISE,-1987054,1814910230,2026_01_02,2026-04-18 16:39
EGEGY,-2033002,61200000,2026_01_02,2026-04-18 16:39
TSPOR,-2467907,3674526725,2026_01_02,2026-04-18 16:39
OSTIM,-2596711,510724464,2026_01_02,2026-04-18 16:39
ISMEN,-2675932,467723147,2026_01_02,2026-04-18 16:39
HEDEF,-2745827,562499930,2026_01_02,2026-04-18 16:39
MARTI,-3118711,590291701,2026_01_02,2026-04-18 16:39
OYAKC,-3216483,4656879380,2026_01_02,2026-04-18 16:39
KLSYN,-3234210,107854952,2026_01_02,2026-04-18 16:39
MRGYO,-3534785,1035439186,2026_01_02,2026-04-18 16:39
EREGL,-3701648,3554245507,2026_01_02,2026-04-18 16:39
CCOLA,-3950922,815835147,2026_01_02,2026-04-18 16:39
HLGYO,-4438344,1075198536,2026_01_02,2026-04-18 16:39
QUAGR,-4537509,1773200000,2026_01_02,2026-04-18 16:39
DMRGD,-5817982,1277294592,2026_01_02,2026-04-18 16:39
VRGYO,-6931901,597693904,2026_01_02,2026-04-18 16:39
ISCTR,-7464067,8880196751,2026_01_02,2026-04-18 16:39
TSKB,-8321299,1516591673,2026_01_02,2026-04-18 16:39
PAHOL,-8953690,3999999979,2026_01_02,2026-04-18 16:39
YKBNK,-11054697,4705235927,2026_01_02,2026-04-18 16:39
ODAS,-11985798,1113798031,2026_01_02,2026-04-18 16:39
VAKFN,-16613525,2064378145,2026_01_02,2026-04-18 16:39
EKGYO,-18250713,1925107366,2026_01_02,2026-04-18 16:39
TURSG,-21008599,7907296076,2026_01_02,2026-04-18 16:39
ADESE,-60399126,4687131701,2026_01_02,2026-04-18 16:39
SASA,-142017046,25700421849,2026_01_02,2026-04-18 16:39
YKBNK,129954046,4705235952,2026_01_03,2026-04-18 16:40
ISCTR,61199623,8880196742,2026_01_03,2026-04-18 16:40
BTCIM,55743671,4046650979,2026_01_03,2026-04-18 16:40
GMTAS,37179968,298687813,2026_01_03,2026-04-18 16:40
ADESE,35328085,4687131701,2026_01_03,2026-04-18 16:40
FORMT,21457615,1075444232,2026_01_03,2026-04-18 16:40
VAKBN,18560821,8046896130,2026_01_03,2026-04-18 16:40
EREGL,18411559,3554238535,2026_01_03,2026-04-18 16:40
AKBNK,18119134,3059020205,2026_01_03,2026-04-18 16:40
GARAN,13362477,2454842798,2026_01_03,2026-04-18 16:40
PETKM,12780649,1241736844,2026_01_03,2026-04-18 16:40
GLYHO,11646423,1949290631,2026_01_03,2026-04-18 16:40
AEFES,11554723,2028860053,2026_01_03,2026-04-18 16:40
DAPGM,9712115,928276145,2026_01_03,2026-04-18 16:40
EKGYO,9368646,1925107366,2026_01_03,2026-04-18 16:40
CWENE,9310111,530758241,2026_01_03,2026-04-18 16:40
HEKTS,9212590,3946474643,2026_01_03,2026-04-18 16:40
ZOREN,8518649,2681244172,2026_01_03,2026-04-18 16:40
GSRAY,8444504,10123744690,2026_01_03,2026-04-18 16:40
TRALT,7486239,952271819,2026_01_03,2026-04-18 16:40
SRVGY,6976178,806067999,2026_01_03,2026-04-18 16:40
MRGYO,6099259,1035439185,2026_01_03,2026-04-18 16:40
ANSGR,5603658,1564416026,2026_01_03,2026-04-18 16:40
QUAGR,5575888,1771950000,2026_01_03,2026-04-18 16:40
BORSK,5532549,279999879,2026_01_03,2026-04-18 16:40
KRDMD,5397404,780216365,2026_01_03,2026-04-18 16:40
PAHOL,4941129,3999999979,2026_01_03,2026-04-18 16:40
ASTOR,4861220,366896261,2026_01_03,2026-04-18 16:40
RYGYO,4675562,770588057,2026_01_03,2026-04-18 16:40
SISE,4579600,1814910230,2026_01_03,2026-04-18 16:40
KCHOL,4475991,674052308,2026_01_03,2026-04-18 16:40
ALVES,4201757,862856920,2026_01_03,2026-04-18 16:40
ULUFA,3913518,305352801,2026_01_03,2026-04-18 16:40
LIDFA,3891395,458180545,2026_01_03,2026-04-18 16:40
TUCLK,3361765,230681400,2026_01_03,2026-04-18 16:40
TUPRS,3252198,902334854,2026_01_03,2026-04-18 16:40
TTKOM,3184133,524999999,2026_01_03,2026-04-18 16:40
TCELL,3074068,1622604373,2026_01_03,2026-04-18 16:40
FONET,2969732,577082984,2026_01_03,2026-04-18 16:40
SEGMN,2969693,80999980,2026_01_03,2026-04-18 16:40
ESCAR,2938436,101933690,2026_01_03,2026-04-18 16:40
ALARK,2479934,164975148,2026_01_03,2026-04-18 16:40
OZGYO,2473184,490916869,2026_01_03,2026-04-18 16:40
DOHOL,2393023,984706959,2026_01_03,2026-04-18 16:40
PSGYO,2302159,2954231556,2026_01_03,2026-04-18 16:40
SARKY,2257023,999999671,2026_01_03,2026-04-18 16:40
TEHOL,2251471,1967936441,2026_01_03,2026-04-18 16:40
CVKMD,2245185,461999787,2026_01_03,2026-04-18 16:40
OYAKC,2229027,4656879380,2026_01_03,2026-04-18 16:40
DARDL,2198380,1753442695,2026_01_03,2026-04-18 16:40
ASELS,2162247,1178597817,2026_01_03,2026-04-18 16:40
MARTI,2050230,590191701,2026_01_03,2026-04-18 16:40
KATMR,2026890,1980989998,2026_01_03,2026-04-18 16:40
TAVHL,1928256,213213415,2026_01_03,2026-04-18 16:40
SMRTG,1766895,221388224,2026_01_03,2026-04-18 16:40
MAGEN,1710339,719512140,2026_01_03,2026-04-18 16:40
PATEK,1697968,293081892,2026_01_03,2026-04-18 16:40
TABGD,1672270,52499906,2026_01_03,2026-04-18 16:40
AKFYE,1613973,551782160,2026_01_03,2026-04-18 16:40
DITAS,1506273,83407812,2026_01_03,2026-04-18 16:40
INFO,1339455,767463337,2026_01_03,2026-04-18 16:40
KAYSE,1316631,814062605,2026_01_03,2026-04-18 16:40
AGHOL,1297949,1068828243,2026_01_03,2026-04-18 16:40
TOASO,1297781,120585076,2026_01_03,2026-04-18 16:40
AKGRT,1225730,629007625,2026_01_03,2026-04-18 16:40
SNICA,1168686,321688855,2026_01_03,2026-04-18 16:40
MHRGY,1044777,310499991,2026_01_03,2026-04-18 16:40
ULKER,1033216,338855989,2026_01_03,2026-04-18 16:40
DOAS,942036,97899975,2026_01_03,2026-04-18 16:40
METRO,907631,539989959,2026_01_03,2026-04-18 16:40
RUBNS,872214,42377765,2026_01_03,2026-04-18 16:40
MPARK,856225,80869110,2026_01_03,2026-04-18 16:40
TUREX,834014,432000000,2026_01_03,2026-04-18 16:40
SOKM,801890,448708248,2026_01_03,2026-04-18 16:40
CCOLA,800387,818085147,2026_01_03,2026-04-18 16:40
EUPWR,776913,199610525,2026_01_03,2026-04-18 16:40
AGESA,773753,35829553,2026_01_03,2026-04-18 16:40
KRVGD,761613,596159766,2026_01_03,2026-04-18 16:40
BUCIM,732359,1286538062,2026_01_03,2026-04-18 16:40
MGROS,666546,96563547,2026_01_03,2026-04-18 16:40
ETILR,661276,156217454,2026_01_03,2026-04-18 16:40
CANTE,645755,6026143802,2026_01_03,2026-04-18 16:40
IHGZT,617104,570666228,2026_01_03,2026-04-18 16:40
BRLSM,607205,108025075,2026_01_03,2026-04-18 16:40
FRMPL,607180,39977439,2026_01_03,2026-04-18 16:40
IHLAS,603362,1396079076,2026_01_03,2026-04-18 16:40
LMKDC,593542,155929999,2026_01_03,2026-04-18 16:40
TEKTU,593139,195639308,2026_01_03,2026-04-18 16:40
AVOD,591829,253604577,2026_01_03,2026-04-18 16:40
SAHOL,582830,1142761094,2026_01_03,2026-04-18 16:40
ARMGD,564849,54996000,2026_01_03,2026-04-18 16:40
IEYHO,544113,541032947,2026_01_03,2026-04-18 16:40
TRMET,538902,174454588,2026_01_03,2026-04-18 16:40
IHAAS,519241,56031248,2026_01_03,2026-04-18 16:40
ENERY,516260,2420686786,2026_01_03,2026-04-18 16:40
EPLAS,504074,190491857,2026_01_03,2026-04-18 16:40
LYDHO,500074,188179904,2026_01_03,2026-04-18 16:40
KUYAS,495937,395653297,2026_01_03,2026-04-18 16:40
ESCOM,478217,463831670,2026_01_03,2026-04-18 16:40
KRDMA,473117,240300917,2026_01_03,2026-04-18 16:40
VESTL,447602,295447203,2026_01_03,2026-04-18 16:40
ISDMR,445094,147623050,2026_01_03,2026-04-18 16:40
GESAN,443413,141759180,2026_01_03,2026-04-18 16:40
IZMDC,441585,723225318,2026_01_03,2026-04-18 16:40
AZTEK,435147,279000000,2026_01_03,2026-04-18 16:40
ATATP,433390,18809999,2026_01_03,2026-04-18 16:40
MAVI,430941,576779312,2026_01_03,2026-04-18 16:40
DURKN,428149,42500000,2026_01_03,2026-04-18 16:40
GLRYH,411371,599623814,2026_01_03,2026-04-18 16:40
ARZUM,410881,293999828,2026_01_03,2026-04-18 16:40
IMASM,408484,622850499,2026_01_03,2026-04-18 16:40
PENGD,393155,171068967,2026_01_03,2026-04-18 16:40
HALKB,392231,6546422780,2026_01_03,2026-04-18 16:40
DYOBY,365774,186553687,2026_01_03,2026-04-18 16:40
ALGYO,362036,989357377,2026_01_03,2026-04-18 16:40
KOTON,358495,136599960,2026_01_03,2026-04-18 16:40
RTALB,355446,432976722,2026_01_03,2026-04-18 16:40
MNDTR,345993,910071938,2026_01_03,2026-04-18 16:40
AFYON,338095,399992258,2026_01_03,2026-04-18 16:40
ALKIM,317396,182767821,2026_01_03,2026-04-18 16:40
BALSU,311520,278000000,2026_01_03,2026-04-18 16:40
DURDO,302777,379703149,2026_01_03,2026-04-18 16:40
LILAK,301316,260252730,2026_01_03,2026-04-18 16:40
KRGYO,296487,275373393,2026_01_03,2026-04-18 16:40
ECOGR,294816,109979000,2026_01_03,2026-04-18 16:40
YUNSA,286378,202164056,2026_01_03,2026-04-18 16:40
ASGYO,281959,165000000,2026_01_03,2026-04-18 16:40
EGEPO,278525,200000000,2026_01_03,2026-04-18 16:40
ENJSA,276156,236211770,2026_01_03,2026-04-18 16:40
MARMR,272140,961218727,2026_01_03,2026-04-18 16:40
KOPOL,266040,266319652,2026_01_03,2026-04-18 16:40
LRSHO,265109,724120946,2026_01_03,2026-04-18 16:40
GUBRF,263559,85359737,2026_01_03,2026-04-18 16:40
SOKE,255900,126999996,2026_01_03,2026-04-18 16:40
SANFM,245421,225029995,2026_01_03,2026-04-18 16:40
MERKO,242805,101104701,2026_01_03,2026-04-18 16:40
GLRMK,235478,38760000,2026_01_03,2026-04-18 16:40
FRIGO,233706,131201647,2026_01_03,2026-04-18 16:40
PRKME,227603,53038641,2026_01_03,2026-04-18 16:40
MEPET,226759,73940585,2026_01_03,2026-04-18 16:40
EYGYO,221659,341859667,2026_01_03,2026-04-18 16:40
BOSSA,217922,508724189,2026_01_03,2026-04-18 16:40
BEGYO,216659,277250000,2026_01_03,2026-04-18 16:40
PNSUT,212346,128323851,2026_01_03,2026-04-18 16:40
TATGD,209894,119284718,2026_01_03,2026-04-18 16:40
RGYAS,205728,105523000,2026_01_03,2026-04-18 16:40
MERIT,189356,329748900,2026_01_03,2026-04-18 16:40
BIENY,185641,83144831,2026_01_03,2026-04-18 16:40
EDIP,185388,36468204,2026_01_03,2026-04-18 16:40
KAREL,179055,329659497,2026_01_03,2026-04-18 16:40
AYGAZ,164908,98568807,2026_01_03,2026-04-18 16:40
TSGYO,164827,266499982,2026_01_03,2026-04-18 16:40
ARASE,163060,49999991,2026_01_03,2026-04-18 16:40
KGYO,162395,767895149,2026_01_03,2026-04-18 16:40
BNTAS,161489,170624998,2026_01_03,2026-04-18 16:40
OBASE,159121,14924000,2026_01_03,2026-04-18 16:40
BEYAZ,158764,42317352,2026_01_03,2026-04-18 16:40
AKSUE,157914,56376184,2026_01_03,2026-04-18 16:40
SUWEN,152591,365687500,2026_01_03,2026-04-18 16:40
ARSAN,148425,887344274,2026_01_03,2026-04-18 16:40
HEDEF,147466,562499930,2026_01_03,2026-04-18 16:40
NUGYO,143156,324943976,2026_01_03,2026-04-18 16:40
KCAER,136880,496494775,2026_01_03,2026-04-18 16:40
ARTMS,134532,24199999,2026_01_03,2026-04-18 16:40
GOKNR,133298,178040711,2026_01_03,2026-04-18 16:40
OZKGY,130835,363999945,2026_01_03,2026-04-18 16:40
MEGMT,128429,72749999,2026_01_03,2026-04-18 16:40
GZNMI,125098,40910271,2026_01_03,2026-04-18 16:40
BLUME,123540,174710134,2026_01_03,2026-04-18 16:40
AYDEM,122011,130000000,2026_01_03,2026-04-18 16:40
ANHYT,121162,88457041,2026_01_03,2026-04-18 16:40
KLGYO,119946,689399869,2026_01_03,2026-04-18 16:40
DOFER,117958,19572500,2026_01_03,2026-04-18 16:40
CIMSA,115141,488404404,2026_01_03,2026-04-18 16:40
MEKAG,111042,240319999,2026_01_03,2026-04-18 16:40
KLKIM,108587,138383655,2026_01_03,2026-04-18 16:40
ALKA,103868,330750000,2026_01_03,2026-04-18 16:40
TMSN,101335,44449988,2026_01_03,2026-04-18 16:40
BOBET,100788,113999998,2026_01_03,2026-04-18 16:40
DENGE,98574,525284797,2026_01_03,2026-04-18 16:40
BERA,95697,491816866,2026_01_03,2026-04-18 16:40
SDTTR,94743,15990000,2026_01_03,2026-04-18 16:40
KIMMR,92386,75000000,2026_01_03,2026-04-18 16:40
TATEN,87743,347774724,2026_01_03,2026-04-18 16:40
ECILC,86459,210589603,2026_01_03,2026-04-18 16:40
SAFKR,84442,139427409,2026_01_03,2026-04-18 16:40
KLYPV,82664,46334639,2026_01_03,2026-04-18 16:40
BINHO,82254,488884390,2026_01_03,2026-04-18 16:40
KOCMT,77715,581991187,2026_01_03,2026-04-18 16:40
HKTM,76748,72747500,2026_01_03,2026-04-18 16:40
GIPTA,76472,51625912,2026_01_03,2026-04-18 16:40
OFSYM,75828,22749998,2026_01_03,2026-04-18 16:40
ALCTL,74103,13543218,2026_01_03,2026-04-18 16:40
ENKAI,74090,874736059,2026_01_03,2026-04-18 16:40
EGGUB,72380,75862114,2026_01_03,2026-04-18 16:40
ADGYO,72096,379654367,2026_01_03,2026-04-18 16:40
DUNYH,71356,36443197,2026_01_03,2026-04-18 16:40
DMSAS,70994,199994510,2026_01_03,2026-04-18 16:40
DZGYO,67589,399777846,2026_01_03,2026-04-18 16:40
RAYSG,64409,51947024,2026_01_03,2026-04-18 16:40
SKTAS,62141,332865443,2026_01_03,2026-04-18 16:40
ASUZU,61793,41130807,2026_01_03,2026-04-18 16:40
CRFSA,61223,18312793,2026_01_03,2026-04-18 16:40
ELITE,59242,44645000,2026_01_03,2026-04-18 16:40
VAKKO,57959,30789786,2026_01_03,2026-04-18 16:40
BRISA,55720,31247472,2026_01_03,2026-04-18 16:40
GEREL,55239,219036379,2026_01_03,2026-04-18 16:40
MEYSU,51339,174889790,2026_01_03,2026-04-18 16:40
MSGYO,51129,169650150,2026_01_03,2026-04-18 16:40
YGGYO,49301,240625741,2026_01_03,2026-04-18 16:40
EBEBK,48960,40534692,2026_01_03,2026-04-18 16:40
SMRVA,48787,28000000,2026_01_03,2026-04-18 16:40
BIOEN,45632,197983419,2026_01_03,2026-04-18 16:40
FADE,45525,42347497,2026_01_03,2026-04-18 16:40
REEDR,44995,627278663,2026_01_03,2026-04-18 16:40
DERIM,44212,40403770,2026_01_03,2026-04-18 16:40
BAYRK,43915,189751123,2026_01_03,2026-04-18 16:40
JANTS,43054,207477849,2026_01_03,2026-04-18 16:40
KRDMB,42809,118762110,2026_01_03,2026-04-18 16:40
BIGTK,39653,23395022,2026_01_03,2026-04-18 16:40
GRSEL,39166,29650000,2026_01_03,2026-04-18 16:40
ALTNY,38356,399889404,2026_01_03,2026-04-18 16:40
ECZYT,38159,45880511,2026_01_03,2026-04-18 16:40
GOODY,37685,132804473,2026_01_03,2026-04-18 16:40
ONRYT,34478,19730000,2026_01_03,2026-04-18 16:40
BAKAB,33293,34985326,2026_01_03,2026-04-18 16:40
CATES,33231,33050000,2026_01_03,2026-04-18 16:40
HATEK,32992,62998947,2026_01_03,2026-04-18 16:40
ZGYO,32810,84499889,2026_01_03,2026-04-18 16:40
GRTHO,31574,36745000,2026_01_03,2026-04-18 16:40
ORGE,30547,41839996,2026_01_03,2026-04-18 16:40
ARENA,30224,66996461,2026_01_03,2026-04-18 16:40
BAHKM,29983,23289000,2026_01_03,2026-04-18 16:40
PKART,27718,11048497,2026_01_03,2026-04-18 16:40
ZERGY,25612,156799985,2026_01_03,2026-04-18 16:40
OBAMS,25569,725750028,2026_01_03,2026-04-18 16:40
LUKSK,24448,27257202,2026_01_03,2026-04-18 16:40
MOPAS,22336,57330000,2026_01_03,2026-04-18 16:40
GOLTS,21872,12422783,2026_01_03,2026-04-18 16:40
ISGSY,21042,47378729,2026_01_03,2026-04-18 16:40
MOBTL,21032,207999999,2026_01_03,2026-04-18 16:40
BRKVY,18524,13618361,2026_01_03,2026-04-18 16:40
PNLSN,17045,34752383,2026_01_03,2026-04-18 16:40
FMIZP,16936,3497751,2026_01_03,2026-04-18 16:40
TCKRC,16295,70000000,2026_01_03,2026-04-18 16:40
CEOEM,16010,22082614,2026_01_03,2026-04-18 16:40
KORDS,15981,65421451,2026_01_03,2026-04-18 16:40
AYCES,15900,1895369,2026_01_03,2026-04-18 16:40
HRKET,15442,24000000,2026_01_03,2026-04-18 16:40
VERTU,15381,22000000,2026_01_03,2026-04-18 16:40
RUZYE,15324,267748491,2026_01_03,2026-04-18 16:40
KARTN,15149,72781126,2026_01_03,2026-04-18 16:40
KTSKR,14379,14691795,2026_01_03,2026-04-18 16:40
DNISI,13929,59171727,2026_01_03,2026-04-18 16:40
PAMEL,13777,21533681,2026_01_03,2026-04-18 16:40
ICUGS,13299,336250000,2026_01_03,2026-04-18 16:40
ISYAT,9410,152245569,2026_01_03,2026-04-18 16:40
BRYAT,9351,10264685,2026_01_03,2026-04-18 16:40
VBTYZ,9144,55935000,2026_01_03,2026-04-18 16:40
INTEM,9131,9428747,2026_01_03,2026-04-18 16:40
SANKO,8469,37499197,2026_01_03,2026-04-18 16:40
SKYMD,7983,52499981,2026_01_03,2026-04-18 16:40
ERBOS,6750,15899843,2026_01_03,2026-04-18 16:40
KAPLM,6722,4563071,2026_01_03,2026-04-18 16:40
MAKIM,6259,42559998,2026_01_03,2026-04-18 16:40
TMPOL,4974,11039990,2026_01_03,2026-04-18 16:40
BFREN,4300,24586148,2026_01_03,2026-04-18 16:40
BMSTL,3733,74772260,2026_01_03,2026-04-18 16:40
MAALT,3663,4763850,2026_01_03,2026-04-18 16:40
ULUSE,3211,24000000,2026_01_03,2026-04-18 16:40
ALFAS,3142,84639559,2026_01_03,2026-04-18 16:40
ATAKP,3120,28224000,2026_01_03,2026-04-18 16:40
AVHOL,2955,26047279,2026_01_03,2026-04-18 16:40
SURGY,2589,44745990,2026_01_03,2026-04-18 16:40
OTTO,1604,5474438,2026_01_03,2026-04-18 16:40
CMBTN,1354,1023000,2026_01_03,2026-04-18 16:40
NETAS,946,31783484,2026_01_03,2026-04-18 16:40
UFUK,872,46845974,2026_01_03,2026-04-18 16:40
LYDYE,795,1391287,2026_01_03,2026-04-18 16:40
KONYA,644,1646416,2026_01_03,2026-04-18 16:40
TARKM,515,4999885,2026_01_03,2026-04-18 16:40
CELHA,406,146124228,2026_01_03,2026-04-18 16:40
ALKLC,295,45382467,2026_01_03,2026-04-18 16:40
KLNMA,0,91846864,2026_01_03,2026-04-18 16:40
BRKSN,0,62639942,2026_01_03,2026-04-18 16:40
SELVA,0,747897737,2026_01_03,2026-04-18 16:40
SEYKM,0,151040901,2026_01_03,2026-04-18 16:40
SILVR,0,212818206,2026_01_03,2026-04-18 16:40
AKYHO,0,223895870,2026_01_03,2026-04-18 16:40
ARAT,0,39867975,2026_01_03,2026-04-18 16:40
SKYLP,0,7159255,2026_01_03,2026-04-18 16:40
BRMEN,0,57566555,2026_01_03,2026-04-18 16:40
SMART,0,29737499,2026_01_03,2026-04-18 16:40
CMENT,0,56829666,2026_01_03,2026-04-18 16:40
IHEVA,0,291631239,2026_01_03,2026-04-18 16:40
KRATL,0,17800000,2026_01_03,2026-04-18 16:40
SNPAM,0,19679871,2026_01_03,2026-04-18 16:40
MZHLD,0,72215314,2026_01_03,2026-04-18 16:40
CRDFA,0,74996853,2026_01_03,2026-04-18 16:40
SONME,0,4349319,2026_01_03,2026-04-18 16:40
GLBMD,0,28880500,2026_01_03,2026-04-18 16:40
GLDTRF,0,46350000,2026_01_03,2026-04-18 16:40
ENPRA,0,15294299,2026_01_03,2026-04-18 16:40
ARTOG,0,18578922,2026_01_03,2026-04-18 16:40
KSTUR,0,3952561,2026_01_03,2026-04-18 16:40
ORCAY,0,149663501,2026_01_03,2026-04-18 16:40
ISBIR,0,14500244,2026_01_03,2026-04-18 16:40
OYAYO,0,19999941,2026_01_03,2026-04-18 16:40
OYLUM,0,80937367,2026_01_03,2026-04-18 16:40
TDGYO,0,59914214,2026_01_03,2026-04-18 16:40
ASYAB,0,477904801,2026_01_03,2026-04-18 16:40
ARBUL,0,15459297,2026_01_03,2026-04-18 16:40
OZRDN,0,57107579,2026_01_03,2026-04-18 16:40
LIOYS,0,31625013,2026_01_03,2026-04-18 16:40
ERSU,0,31755894,2026_01_03,2026-04-18 16:40
GOLDS,0,192323946,2026_01_03,2026-04-18 16:40
TRHOL,0,17635692,2026_01_03,2026-04-18 16:40
BURCE,0,44422390,2026_01_03,2026-04-18 16:40
BURVA,0,4723271,2026_01_03,2026-04-18 16:40
GRNYO,0,37386059,2026_01_03,2026-04-18 16:40
